champ1.1,kills1.1,assists1.1,deaths1.1,gold1.1,champ1.2,kills1.2,assists1.2,deaths1.2,gold1.2,champ1.3,kills1.3,assists1.3,deaths1.3,gold1.3,champ1.4,kills1.4,assists1.4,deaths1.4,gold1.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,champ2.1,kills2.1,assists2.1,deaths2.1,gold2.1,champ2.2,kills2.2,assists2.2,deaths2.2,gold2.2,champ2.3,kills2.3,assists2.3,deaths2.3,gold2.3,champ2.4,kills2.4,assists2.4,deaths2.4,gold2.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,first blood,first tower,blue towers,red towers,blue dragons,red dragons,blue heralds,red heralds,blue barons,red barons,win
164,10,24,9,11471,555,10,18,11,11758,18,12,14,5,11698,103,7,27,5,11101,42,13,30,9,13071,21,10,19,9,11180,875,5,15,8,10222,32,1,25,12,8642,238,13,14,12,12282,150,10,16,11,11191,-1,-1,4,2,0,0,0,0,0,0,1
10,8,16,10,15749,80,12,16,15,15147,117,5,21,9,12756,26,3,20,11,13129,14,10,12,20,13746,555,22,20,11,18944,16,3,49,4,13940,82,8,24,9,14245,63,12,36,8,16044,15,19,35,7,18221,-1,-1,1,4,0,0,0,0,0,0,-1
89,5,31,10,12426,246,21,18,15,15008,107,15,21,14,14679,13,9,26,11,13050,145,6,27,13,12042,4,13,30,12,13832,30,15,33,14,14277,43,4,48,10,12124,54,13,36,10,14642,236,18,23,12,15926,1,-1,1,4,0,0,0,0,0,0,-1
90,13,21,3,12905,119,16,17,10,12151,37,1,36,7,9156,122,10,21,6,11427,875,7,25,8,10438,107,14,7,16,11426,3,3,17,12,8800,115,7,16,8,10846,101,5,19,2,9731,7,5,15,9,9368,1,1,4,1,0,0,0,0,0,0,1
711,5,30,9,11736,126,15,21,12,13567,3,3,31,8,10744,104,9,21,11,12013,360,20,15,10,15795,99,13,30,8,13413,145,14,23,10,14659,76,10,27,10,11912,412,2,40,10,10549,555,11,16,14,12645,-1,1,4,1,0,0,0,0,0,0,1
126,11,10,12,12475,141,6,14,13,10750,63,4,26,12,11562,360,17,10,12,15052,18,4,9,12,10892,117,3,46,8,11380,119,26,20,10,18836,13,9,27,7,12783,246,21,22,12,14588,267,2,51,5,11485,1,1,1,4,0,0,0,0,0,0,-1
21,12,22,6,12123,222,14,16,5,13865,235,2,24,6,10037,40,1,34,4,10069,98,9,22,6,11590,67,3,12,8,9819,147,4,23,4,10674,266,5,18,8,10509,111,2,18,12,9180,555,13,6,6,13367,-1,1,4,0,0,0,0,0,0,0,1
16,2,20,6,7995,99,6,26,2,10118,106,8,15,5,9691,11,18,9,9,11254,119,4,13,5,9580,115,4,11,7,8734,121,4,5,7,7896,29,7,10,9,9291,96,6,12,9,9251,432,5,9,6,8092,1,1,4,1,0,0,0,0,0,0,1
10,0,9,8,5662,16,1,9,5,5718,523,6,5,7,8152,54,3,5,8,6564,21,5,6,7,7093,13,4,12,2,7375,112,8,15,3,8911,92,7,11,6,8083,81,6,13,2,7869,76,10,22,2,8942,-1,-1,0,4,0,0,0,0,0,0,-1
16,3,51,9,13728,119,16,33,16,16955,22,7,47,9,15265,102,15,34,7,17310,105,27,20,11,19216,58,5,24,15,13112,145,19,20,15,18861,77,12,18,17,16210,222,8,25,8,15206,12,5,28,14,14122,-1,1,4,2,0,0,0,0,0,0,1
166,12,7,6,16111,120,5,20,7,16077,4,8,21,8,17963,236,9,7,9,15345,117,5,30,8,11445,43,1,18,5,10855,246,18,10,4,21224,517,7,7,12,14730,81,9,12,9,16303,3,3,16,9,9991,1,1,8,7,1,4,1,0,1,1,-1
58,4,9,3,11032,246,6,4,6,9665,4,6,11,3,12837,523,5,9,2,11291,111,3,8,4,6930,126,2,6,7,9770,234,8,5,3,10115,13,5,3,5,9862,202,3,7,3,9944,89,0,8,6,5823,-1,1,5,1,2,1,2,0,0,0,1
126,6,9,3,11259,238,9,8,3,11273,7,18,11,2,15193,30,5,9,8,10402,89,1,14,4,7404,887,2,1,5,9159,421,10,1,5,12317,38,1,3,16,7275,119,6,6,7,13198,117,1,11,6,7615,1,-1,10,8,2,0,1,1,1,0,1
223,2,7,1,11260,238,19,4,3,15673,134,1,11,8,10848,429,13,9,2,13899,111,2,18,3,8153,36,3,1,4,10061,91,10,2,9,13732,34,2,4,7,9654,81,2,8,7,9830,40,0,4,10,6093,-1,1,9,2,2,2,1,0,1,0,1
39,4,2,4,11130,78,6,8,2,9093,136,4,9,1,9598,119,15,6,6,13717,117,1,22,3,7736,126,1,4,7,7023,91,4,4,7,8389,4,6,3,5,9750,235,2,4,6,8155,3,3,6,5,6312,1,1,8,2,1,1,2,0,0,0,1
777,2,2,5,7304,246,6,3,4,8207,3,1,4,5,5644,119,4,4,9,6932,497,2,7,7,5273,104,11,8,2,13218,141,5,7,2,9123,34,4,6,1,10384,202,7,11,7,8609,350,3,19,4,6909,1,-1,1,10,0,2,0,1,0,0,-1
39,5,6,14,10492,120,18,8,6,15075,4,5,10,8,10503,119,4,5,14,11524,526,1,23,7,7481,58,10,19,5,14700,104,18,15,7,15757,136,8,14,9,10366,236,8,14,9,12158,350,5,29,5,9060,1,1,3,7,2,1,2,0,0,1,-1
10,5,4,4,9226,246,8,4,0,9055,55,7,2,4,8334,267,5,11,3,7427,236,3,8,1,9653,92,1,1,6,6455,76,3,3,5,7068,38,4,2,6,7479,202,3,4,5,8406,26,1,4,6,4847,1,1,5,0,1,0,1,0,0,0,1
