champ1.1,kills1.1,assists1.1,deaths1.1,gold1.1,champ1.2,kills1.2,assists1.2,deaths1.2,gold1.2,champ1.3,kills1.3,assists1.3,deaths1.3,gold1.3,champ1.4,kills1.4,assists1.4,deaths1.4,gold1.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,champ2.1,kills2.1,assists2.1,deaths2.1,gold2.1,champ2.2,kills2.2,assists2.2,deaths2.2,gold2.2,champ2.3,kills2.3,assists2.3,deaths2.3,gold2.3,champ2.4,kills2.4,assists2.4,deaths2.4,gold2.4,champ1.5,kills1.5,assists1.5,deaths1.5,gold1.5,first blood,first tower,blue towers,red towers,blue dragons,red dragons,blue heralds,red heralds,blue barons,red barons,win
222,11,17,14,13386,223,5,16,7,11261,41,8,16,8,12844,84,10,15,12,12792,21,4,11,11,12081,161,9,27,6,13760,25,5,30,8,12105,8,13,21,9,14623,120,12,23,7,14047,166,13,19,8,14503,-1,1,1,4,0,0,0,0,0,0,-1
90,4,11,3,9654,101,9,11,3,9857,201,3,17,3,8816,432,6,11,3,9160,29,6,9,3,9410,17,3,1,5,8578,63,3,7,6,8641,99,3,6,5,8755,875,2,8,6,8093,126,4,8,6,9047,1,1,2,1,0,0,0,0,0,0,1
157,5,22,15,12757,266,13,22,11,14018,876,7,19,13,11521,38,14,21,13,13951,7,9,19,9,12558,89,6,35,12,11791,222,9,42,8,13671,236,12,38,9,13970,245,23,28,10,16020,122,11,29,9,13119,-1,-1,1,4,0,0,0,0,0,0,-1
112,13,27,12,15141,266,10,21,12,13881,267,5,36,7,13255,50,11,28,12,14374,10,11,28,11,14776,711,15,27,13,14966,76,13,29,5,15377,236,12,22,11,14014,37,4,40,15,12591,72,9,25,6,15143,1,-1,2,4,0,0,0,0,0,0,-1
26,3,19,6,9923,75,8,13,8,11251,412,4,16,7,9513,51,8,14,9,10280,21,7,7,11,10957,101,7,20,6,11569,555,14,13,7,13111,115,8,18,5,12505,14,3,29,8,11123,39,9,17,4,12500,-1,-1,0,4,0,0,0,0,0,0,-1
235,11,47,6,15147,876,12,32,5,13841,81,14,41,7,15715,99,12,34,10,13552,246,19,23,8,14744,268,9,15,13,14465,114,4,5,11,10902,39,10,10,13,15039,555,11,7,14,13350,64,2,18,17,10517,1,1,4,1,0,0,0,0,0,0,1
50,14,25,10,14375,412,5,30,12,12872,7,8,15,12,12351,238,15,16,15,16208,111,5,21,12,12219,876,14,21,10,14504,13,11,34,7,14611,14,17,34,13,16974,518,4,29,12,11495,235,15,33,6,15359,1,1,1,4,0,0,0,0,0,0,-1
202,22,25,9,17474,412,5,42,7,13934,104,22,22,9,18793,40,5,46,7,13826,25,7,43,10,15480,147,9,27,8,15441,164,12,20,15,14611,23,12,16,17,15352,60,6,17,11,14583,112,2,19,10,13033,1,1,4,2,0,0,0,0,0,0,1
110,10,21,9,11631,36,6,25,8,11174,29,15,25,14,12853,25,4,28,12,9617,235,13,26,9,13859,142,3,22,8,9844,164,7,15,11,10688,50,6,23,12,10979,127,28,16,9,16369,10,8,32,8,12679,-1,-1,1,4,0,0,0,0,0,0,-1
76,13,18,7,14538,145,20,15,5,17096,40,2,31,10,12572,25,5,23,9,12478,222,8,24,6,15779,8,5,15,10,12297,10,8,19,9,15087,84,9,13,12,13137,51,4,19,10,12866,161,11,15,9,15449,-1,-1,4,2,0,0,0,0,0,0,1
15,5,30,15,13924,79,15,24,12,16706,711,21,19,17,19821,5,8,19,17,14637,150,6,23,11,14009,33,5,33,15,13600,236,12,26,13,15541,90,11,37,9,16252,20,16,35,9,16854,7,28,23,9,19528,-1,-1,1,4,0,0,0,0,0,0,-1
76,13,24,10,16906,523,15,19,10,16795,72,6,31,17,13578,43,5,37,9,14293,114,11,14,13,14702,3,5,41,13,13858,518,15,27,8,16658,143,6,40,10,14961,51,30,18,9,20416,53,3,37,10,13216,-1,-1,3,4,0,0,0,0,0,0,-1
526,0,27,9,9034,147,8,28,6,10963,222,19,17,6,14741,8,12,24,7,11697,875,11,30,10,11377,104,6,18,10,10207,202,10,21,7,11687,14,7,25,14,11730,18,7,16,10,10764,63,8,18,9,10388,1,1,4,1,0,0,0,0,0,0,1
81,14,26,13,15544,104,17,29,11,17186,875,10,32,15,15506,45,15,23,12,15416,99,9,29,9,14209,38,18,21,14,15627,267,1,43,10,12498,63,10,26,14,15213,254,8,19,15,13186,91,23,16,12,17354,1,1,4,3,0,0,0,0,0,0,1
40,2,34,5,10523,266,20,20,7,14042,45,17,21,7,13854,25,4,29,7,10451,518,5,15,5,10377,516,1,11,12,9203,164,4,11,14,9514,76,15,8,9,13859,147,5,20,8,10901,48,6,7,5,10195,1,1,4,0,0,0,0,0,0,0,1
104,22,23,9,18514,20,4,35,11,13180,31,14,30,11,16213,122,4,21,12,11901,37,3,35,8,12644,3,5,31,13,13203,76,16,26,6,15176,81,11,21,10,14603,42,16,22,9,15680,201,3,39,9,12449,-1,-1,4,2,0,0,0,0,0,0,1
147,4,29,5,10040,67,17,15,6,12668,29,20,19,11,13634,64,9,18,8,10856,21,6,25,6,10127,15,9,12,11,11196,7,6,12,11,9661,51,4,16,11,9948,234,10,13,12,11138,266,6,8,11,9635,1,1,4,1,0,0,0,0,0,0,1
201,1,35,5,10740,110,17,20,3,14473,25,10,35,3,13448,236,17,13,8,14092,14,4,19,5,10890,63,6,11,12,11474,240,2,13,9,10575,90,7,9,9,12250,89,3,12,12,10379,142,6,9,7,11529,1,1,4,0,0,0,0,0,0,0,1
103,3,18,9,10811,235,16,21,5,15576,84,10,11,8,11292,246,6,14,8,11150,420,3,21,9,11108,22,5,25,7,11846,157,9,11,11,12385,10,5,27,6,12216,517,11,18,7,13282,126,9,22,7,12815,1,1,2,4,0,0,0,0,0,0,-1
360,15,15,5,12654,161,4,27,4,10525,777,7,22,6,11300,555,14,10,6,14116,37,0,40,2,9923,90,5,13,9,10235,75,5,14,10,9627,147,3,15,7,8570,40,4,16,5,9254,234,5,8,9,9050,1,1,4,0,0,0,0,0,0,0,1
57,7,20,5,10737,145,10,22,3,12049,112,8,12,5,10697,15,10,23,8,11895,50,7,21,5,10845,8,5,10,7,9608,7,11,6,10,11535,202,6,6,6,9721,22,1,12,7,8780,19,3,7,12,8597,-1,1,4,0,0,0,0,0,0,0,1
360,17,15,15,16403,34,5,24,9,14854,54,7,16,15,14260,74,14,32,10,17426,235,18,31,9,19923,81,11,28,10,18901,51,13,22,10,17975,36,11,28,12,17905,777,19,19,13,19791,57,4,23,16,14055,-1,1,2,4,0,0,0,0,0,0,-1
517,0,5,5,6924,101,4,15,6,9074,238,13,10,6,11539,25,3,16,8,9757,246,7,10,7,11107,53,3,18,7,9525,111,2,18,7,9158,142,9,17,5,10887,115,4,18,4,10509,235,14,12,4,13692,-1,-1,0,4,0,0,0,0,0,0,-1
143,4,27,7,13781,14,4,15,16,11953,421,14,18,8,15266,126,13,25,4,17124,34,8,26,6,14410,18,14,17,8,15819,245,6,16,11,13284,150,8,17,8,14168,498,11,14,6,14528,497,2,30,10,12371,-1,1,4,3,0,0,0,0,0,0,1
43,3,14,3,7224,412,3,19,2,6939,202,5,17,3,7876,45,6,13,3,7725,22,9,13,2,8056,161,0,7,5,5737,75,3,2,8,6132,79,4,1,4,6353,2,5,3,6,7120,142,1,7,3,6204,1,1,3,0,0,0,0,0,0,0,1
