First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
7,7,0,2,1,1,0,1,0,0,131,10,0,2,0,93,9,0,0,0,99,9,1,3,1,143,11,2,0,2,3,6,1,3,1,27,7,3,2,2,101,10,3,0,2,129,10,1,0,3,100,9,0,2,3,133,11,1,0,1,-1
1,0,0,1,0,0,0,0,0,0,75,8,2,3,4,84,8,1,3,2,111,10,8,4,1,117,10,1,3,2,12,7,0,3,5,121,11,2,2,4,86,9,5,3,3,19,7,2,2,8,109,10,3,2,4,70,9,4,3,6,1
2,7,1,0,2,2,0,1,0,0,93,10,1,3,4,71,9,4,2,2,97,9,1,2,1,119,9,2,1,1,8,8,0,3,3,96,10,4,4,1,85,9,0,1,5,120,10,3,1,2,92,8,3,1,1,11,7,1,1,6,-1
7,7,1,0,0,1,0,1,0,0,118,12,5,2,1,99,10,5,1,3,90,9,2,2,3,119,9,2,0,6,5,8,0,1,9,108,10,0,2,2,108,10,3,3,1,105,10,2,3,3,109,8,0,3,0,7,7,2,4,2,1
4,4,1,0,1,0,1,0,0,0,137,10,0,0,0,127,10,5,0,2,115,10,1,1,4,128,9,3,1,3,22,8,0,1,7,152,11,0,0,0,111,10,1,2,2,137,11,0,1,2,102,8,1,4,1,31,7,1,2,2,1
6,9,0,2,1,1,0,0,0,0,141,12,3,1,3,92,9,1,3,2,99,10,7,2,3,90,9,1,2,1,7,8,3,3,2,86,10,2,4,2,84,9,2,5,2,118,10,0,3,2,134,9,6,1,1,6,9,1,2,6,-1
9,2,0,0,1,0,1,0,0,0,98,10,3,0,2,75,8,1,4,1,97,10,2,1,2,76,8,0,5,3,11,6,1,5,1,112,10,2,1,2,122,11,7,1,2,113,10,1,2,2,114,10,3,3,5,25,8,2,0,9,-1
4,3,1,0,1,1,1,0,0,0,78,9,0,5,2,89,10,4,2,6,103,10,5,0,4,110,9,3,1,2,25,7,0,2,4,116,10,3,2,1,70,8,1,3,4,96,9,0,5,0,123,10,5,1,1,7,7,1,1,5,1
4,0,0,1,0,1,0,1,0,0,135,11,2,2,1,78,9,4,3,3,120,10,1,3,5,100,9,8,6,4,19,9,0,2,9,92,11,2,3,2,113,10,4,2,4,121,10,2,2,2,118,9,4,5,3,7,7,4,3,4,1
8,2,0,2,2,1,1,0,0,0,95,10,3,3,2,101,10,1,1,7,117,11,6,1,2,106,9,3,2,3,16,7,1,3,5,89,10,2,4,2,100,9,4,3,2,124,10,1,2,2,100,9,3,3,3,19,7,0,2,4,-1
9,9,0,1,0,2,0,1,0,0,85,10,0,1,0,108,9,2,4,1,96,10,2,3,1,114,8,2,3,2,3,8,1,3,3,97,10,2,1,1,95,9,1,0,5,114,10,6,1,1,122,10,3,2,2,6,8,2,3,6,-1
10,7,0,1,1,1,0,1,0,0,120,11,3,1,1,103,9,3,3,2,135,10,1,1,0,103,8,1,4,1,1,7,0,1,4,90,9,1,4,2,99,9,3,1,1,94,10,2,0,2,129,10,3,0,4,9,7,1,3,6,-1
9,6,0,2,0,2,0,1,0,0,97,9,0,5,0,90,9,3,1,1,108,10,1,3,0,133,9,0,2,0,7,7,0,2,3,144,12,3,0,2,105,10,2,0,5,109,10,3,1,2,116,9,4,1,3,8,7,1,2,7,-1
2,4,0,1,1,1,1,0,0,0,91,9,0,3,6,67,8,6,2,2,101,10,6,0,5,95,8,0,1,3,6,7,0,1,3,104,10,2,3,1,91,9,3,3,2,72,9,1,4,3,133,9,0,1,1,28,8,1,1,2,1
7,3,0,1,2,1,1,0,0,0,107,10,2,2,3,101,10,2,0,4,91,10,7,1,4,106,9,3,2,1,22,7,0,3,10,70,9,3,5,1,103,9,3,1,2,119,10,1,3,2,111,9,0,2,6,11,7,1,3,2,1
5,2,0,0,2,0,1,0,0,0,110,11,3,2,6,112,11,4,0,5,126,11,5,2,3,109,8,0,2,6,24,7,5,5,3,93,9,1,5,0,96,9,5,2,2,125,10,2,2,0,103,9,3,4,2,6,7,0,4,8,1
6,6,1,1,1,2,0,1,0,0,113,10,3,3,0,83,9,1,3,4,145,11,2,1,1,97,9,2,2,3,22,6,1,3,2,104,10,5,0,1,100,10,2,1,2,126,10,2,3,4,100,9,0,1,2,10,7,3,4,6,1
7,4,1,1,1,3,0,1,0,0,92,10,3,1,3,71,9,6,1,5,99,9,1,3,3,120,9,4,0,5,12,8,1,2,9,121,10,0,4,1,90,9,2,2,1,153,12,4,1,2,92,9,0,2,3,11,6,1,6,1,1
3,0,1,0,1,0,0,0,0,0,148,12,1,0,2,90,9,2,3,1,68,9,2,4,2,115,9,0,1,2,14,8,2,4,1,64,10,0,1,5,90,9,3,2,6,117,10,6,2,1,96,9,3,1,4,14,8,0,1,10,-1
6,7,1,0,0,1,0,1,0,0,98,10,1,4,4,112,10,3,4,2,103,10,3,5,3,112,9,2,4,2,13,8,0,2,4,98,10,4,3,2,114,11,4,3,6,105,11,8,1,4,111,9,3,1,2,5,8,0,1,13,1
4,6,2,0,1,2,0,1,0,0,94,11,0,3,3,139,11,6,0,1,109,9,2,3,0,112,9,4,3,6,9,8,2,4,8,126,11,2,1,1,86,10,3,2,6,105,10,3,3,4,18,7,0,5,7,99,9,5,3,4,-1
3,4,1,0,1,0,0,0,0,0,106,11,1,2,1,95,9,1,1,5,116,11,7,1,3,134,10,7,1,6,9,8,1,2,8,124,11,4,1,0,71,8,0,4,3,108,10,2,2,2,91,8,0,7,1,13,7,1,3,5,1
7,7,1,1,0,3,0,1,0,0,113,9,0,5,0,88,9,1,3,1,117,10,2,3,1,130,9,0,3,3,6,7,1,2,2,98,11,1,2,10,94,10,5,0,6,125,11,4,0,2,116,10,5,1,5,24,8,1,1,4,-1
7,9,0,2,0,3,1,0,0,0,83,10,1,3,2,90,10,3,2,1,112,10,0,3,2,98,8,0,5,0,2,8,2,5,3,106,10,3,3,0,84,10,7,0,4,102,10,1,3,5,133,10,6,0,2,12,8,1,0,12,-1
2,2,2,0,1,0,1,0,0,0,90,11,5,2,5,86,10,8,3,5,83,9,2,4,7,111,9,7,2,2,6,8,1,0,7,62,9,3,6,3,72,9,5,5,2,118,10,2,2,4,115,9,1,5,0,17,7,0,5,2,-1
9,6,1,1,0,3,0,1,0,0,99,9,0,6,1,113,10,2,1,0,130,11,2,1,1,144,10,4,1,2,3,8,0,2,5,131,10,4,2,0,118,11,1,0,4,138,11,2,1,0,88,8,3,2,2,31,8,1,3,5,1
1,2,1,1,1,1,1,0,0,0,111,10,2,1,1,112,10,4,0,1,123,11,0,1,4,136,9,0,0,0,3,8,0,1,3,116,10,1,3,0,114,10,0,2,2,133,10,0,1,2,138,10,2,0,0,20,8,0,0,3,-1
