dataVersion,matchId,participants,Game Length
2,EUW1_5557735580,"['bVppE4a2UFeeup6v1dvEoFQRT_kekhFlYAiNRIyTKyPjzIU9vRwlN3bpVrkh0Fvwy9xuQ-Q95TM64A', 'U0SGfNM7QvJOGQLyMWkgtz05G0VyzZbZhPYA8iGkNzJREtRk-xycGWrJNpkMdTNUwdVrM3lvi5h8sQ', 'GCgbA0xPXLkB-DO0VlN9amcttReF8Uq0toLBv1OtXdVVbNmk8KCQykuzFcS3QWnpz10r0pyIzE49cg', 'DOj6yVy1IwggZFl2Ljj-O_4uUU_85A8sHNVulDPZ6LBXWpecsud0w-pq8_LTdyVP0xLVEGlXuWy9BA', '0O4XU9umhBx9f2MCBEEbFtL6nQQce8hS1xAempOmPirffJbxqmRzj-bwFIPQwdbBe-UGruZ0meACGA', 'SMFmTeXM2DoWW8BIHqDvZYSE8h4KV7RhWEZIEURK5cIPVM7qKbU-p1Ka7OpQfxuOUclxEg4T18IYQg', 'igbhzKTu1tnS3VbWXu56BRBUwSkzLf4aiTFYFeYeuTFtVjjFIqWvgRdIOrdVUuuPgFmxhRrJyVokaQ', 'ezNeklFozOcgAdYLY_2vQVRkR810ILMdYs3WHp_ZXBwrIDis4yyonceIJ83NdF2kY7xJbTMrC4oB_w', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA', 'LRRB4PJ86-HPg2gJEvrAaRGWandNL8FB1-3CCA8gHFk6xvajpdBzAdPLpfO4jPkRE3kDBj-0CIa0ew']",1515734
2,EUW1_5557694200,"['JCNJg4pA8SntjjbVi6gTKIUseLz-gvh1Btvqc3qvfrR3kf39OazWBVBQQtA-RLIYXohy7098aAxoiQ', 'RA6upjCRcl2rWB-doVHs5Ele3bYNPzdl3o1ABIpbZH46jw7RbHAqZqVxkyP9KYbCyMKKKApwSQu8zA', '3eVGUb3rCI6ehzb2zWvJVNhuNG4RL-Jzn1BzT5fhCFRbZPIW_A8TRxgD91zgp3ObD5d73DKc1VoYxQ', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA', 'yI4zlW3biyBGE0-IHPA2W-dWMc8PQp98pkE9EglcgnErK-eHsEGtSL0AmvhwDiX5-Jb351mtCfwLlA', 'O86lU0mztJjF6bO1oCpBf0ln9MOHVfFv6KNYBAae5nFEEsv9RKOvNvgaSGMMM-n1JR8zbRHnTXxeow', 'g7JJhSBUx2OE5rpjNIaUvyFOvFQnZ1Wi7VNf3uw9KESO7-qRxVAHnTqXhdHtoIYh7zCr4i--JeorFA', 'YbGSJmbppPvUZaYf7UPFeTWP1amrWIb_RUArJe50-0QkYE9siq7NUKmcxVQIqov_3gtnk7MXFIjHoQ', 'bFWwKTEguPUEqJ1fB-Xq4o-b66Lmm1_buEYbSccN2_os6LqD4l5X5Fwg0uIDP06GvtSIhqI4VZxtbQ', 'zoF8Q4TYK2S-EsIBCByDQ4_0V1_dFtDvYMIp_Nq6iqvygjg9PpBtNyI5mctv5-jnOqXKpnlu4P2_1g']",1588842
2,EUW1_5557661007,"['JCNJg4pA8SntjjbVi6gTKIUseLz-gvh1Btvqc3qvfrR3kf39OazWBVBQQtA-RLIYXohy7098aAxoiQ', 'ul8HdErJu-nObj2K7975VN278sq7_pwWetKKob4rt-m8Gl4m-etzqO3F8WwawTykoJf4Ap306H3_9g', 'YEAkKgBPGRS4MA6ZubRG5MYVQe_-o8yt401Uy46-Dvt7bd3GeeTRKgNVEAnd-0ZDZSVMNmufb3FQ8w', '4_dBqolddF4GVc6ecV1HnUha1nBx2U7lmnrpzUNNgkC70uInQE97bqIeiSck1QDcf6XeAPgKn5v0dA', 'r63Io1zieRYvicypwyNAUcJebsMRTpN-8qWMpGMcpr6SNNnnWFZ8RoHBRX7lIMtwobr-XJ2ekeNC9w', 'O86lU0mztJjF6bO1oCpBf0ln9MOHVfFv6KNYBAae5nFEEsv9RKOvNvgaSGMMM-n1JR8zbRHnTXxeow', 'lDT87O5MONrmP17JwyliGAh_qUOqHeCE2gxw2klwKy2zWARqVxhAA007wcHJPB37A6p8eYsierSdqg', '5Eue7JVAX0kjfI70e873_C_ql_Q2OqWpvyq2Rx4CabeergXEvKFuRGjy5t9f9_FHwH_ywqz7RMIB1g', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA', 'w6oO2r_Xad6fc8_HK-Gq3k-RrU23SIgIPTz3Q0P6M7u3YxzIloJS9BdPKEvM9woI00vA695eiYDIUQ']",1298484
2,EUW1_5557471291,"['61akW5duxA6HxDeGrYa_cmHKuTuP84BYJEP2sakHg3OOUW8zqX459H-fmMpAOGPk3Db-MeFwB_OMOg', 'Di1yh8q7XYIara5bJmE0TWwilN6mi06AadOsM0va72SbKPl3XPuxwfZTXN7cTFZSktvvocXnOIbqmw', '4V1-DSvMLTkAGkvSlVMd4wljEya9u5u5jslV1m5vTAnqtVJVTGaZUPal5xs0a7iG8SjDhlX4TmJFTw', 'zoJ8205_uhXrOe7wzZOh42JeXwHTCfKuBo52haCwUrqUH-7dH6ChWG6JRC0PHV5tzOWn6aCoQ1kWDQ', 'cMkU8669jsqOKjQjQrGoWFG795ap-zIia9pgrYhX9ePcTYw4QJqF611r3lgTS4ikwEp3PAX8459meQ', 'U47F5osUwGUXX2CKpY33RfGg_o_t4h3k0yQbXWDHgfKsapl2KLn6uVu164SAOS9hbBmApboBYcTYQA', 'Nz11GCjVyrtSVEckitlKboOqj1SYgxVYuACakDb9NyBmCEBvha-B8_1U5MdhHq8wImwXk1M4Wo6fcQ', '3eVGUb3rCI6ehzb2zWvJVNhuNG4RL-Jzn1BzT5fhCFRbZPIW_A8TRxgD91zgp3ObD5d73DKc1VoYxQ', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA', 'jSrTsEyuEONtvOeZLGaqy0dKwaD5jcoq14ZGT2jKDDXzyuCIykoxn3K7LEbp6DPBQx0yEbElpbWzrA']",1897781
2,EUW1_5557315554,"['_jf-dI3uytbFfIydjtQ5nVhTlZwFz8YQ7KlLMaus-FA7Dqllq3Wn_gNEf8CUaD0uLFpLZwNB2mkv9A', 'QYe8SPNAMazCHz30_6I-Elz73YoZMRvjMGKJMGbbdq73LAu-vAr8L3N5rMklhQv6Al3-p3Ki4kKXBg', 'LfE9ZoBFzTj1OX4TNx8DGk7Pb8Iuo7delMgmMB_h-GCtwuIDzNSXQntbkx7lOECTRqHBy8MqoJ5iZw', '7p74bq4Z5H1Ty6ptWPDg7wpxbE_1R7FjmfLQpsxG_l3IQTFoKc75lI4La4LeXsSXr3HEbmKzdKnk1w', 'jSrTsEyuEONtvOeZLGaqy0dKwaD5jcoq14ZGT2jKDDXzyuCIykoxn3K7LEbp6DPBQx0yEbElpbWzrA', 'AygTvMNAgEmdH6by1Z-mXkyZyybOqQ_2FGxH4YX9tLZADfFuNRERVKncr04zp5Ks9jE5GQnaBduHwA', 'nFk_AbaRPDfrPvsE6k7tx8NHY2VpIpWlAqKuAixha5G19H-oNek23OcopAuLjNdG4vKfCurld61k7w', 'n6Jz5kryujRhINK1axtFySN5OEGSBRGu8a7SPhtwTQB9vEfTxvSwYn3_17WY4NvmyD5UZx_zGwbtuA', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA', 'PNhDL-_4pHi-e54lW0x_XO6t9uBhfPT573aNbJPVD7HjWYtRUvMp0DSWxBXQegoex2QQV1qc_qPD-g']",1267724
2,EUW1_5557292410,"['P94u4Bq5peqo_7sUETOWaejiiSHr_jGQrQ2QVzOBhQ8E2fz9fLxnwSm699CTISaw84upWKcfhn1SPw', '7Rx1WojJMI-u-8RCbWwoHbom2P007d2LSY9wlW9TxfClrl59KhVfDoWunw100kaj0VZ1POdo3SFEGQ', 'VGnR8ZgAKYs92ct_gCdEWJGbLlpLr-xIs796mtGVjU_FRGs1d5mVbI0n3iNBeseW7dkioMtV49NWbQ', 'DrgLxu9gIPrZW4IIv3gCqRA9f_IM4QifIZV5g6qyEjGK_-necUIKaJhovWImjP74rUM1-HPpoEV0ZA', 'bqJ-Z9NC8PhG5NXL9vTfKLIVyU2kB-RqUWp_VyOmjQclsprJ9ACaSs3QW9oXRUna8fp6newmhljYDQ', 'AN6tiMUgHIBlZF1LVl6o1pe2DLmznO0PUI3pOhyb_V6-z8Oj80Dr_j_z_GmbohcXaryryHyVzEU5dw', '-NpPJkVkZgK9GC-YKKX3ru3uTOoHKAIGUvK1KsuheO0fUpcm54JsqmtlDh5IMW-bms9ag1HDYApt0A', '9je5a1G1HRZbo4CC7vjBSjJ0YhqmwoW3MJGBf7qhcnQiOMwoTWPgC9WOnu8faI8dcNeBPjTlfpLxwA', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA', 'AgVLdSD8govmNX6czs2FXN0bY2XvGbuvGN_al24wNZoX1z07iReEbdYSNRpRrNAVJ1fN8R1wBVzB8Q']",2109032
2,EUW1_5557130168,"['O86lU0mztJjF6bO1oCpBf0ln9MOHVfFv6KNYBAae5nFEEsv9RKOvNvgaSGMMM-n1JR8zbRHnTXxeow', 'lF6AcNCD1BiR-4Nl3Dytn71zchxn0gVctsEr015xlvAF0Q17OYuH9LDP7j5SVoorJHtCP-NHMlIJjA', 'sllakHRwTGbOkdeRFp07XusKbBFJY5-BoW71T90bTVjMQxVkESPdAmzVPaFMFeyLJ_NVk1ehwfR6uA', 'GCgbA0xPXLkB-DO0VlN9amcttReF8Uq0toLBv1OtXdVVbNmk8KCQykuzFcS3QWnpz10r0pyIzE49cg', '2-2UiBhhxTA7ltLYY3ZJDsiNEVGfdLVzlzKd9pJsqwZU9sEILAihp0_HkjE1NEOhskvMh93P1jNhNQ', '75SDSuOJPLEDQPc0AEN5-ez_wCAZ3R5vbRA2wxaQujhYTPgbQo1QyQVZzBhBGVdu82Esx4KhnF6Olg', '1FnW-LF_B1ZtYHrdnX-4xNic572qdv4BE8BlmM-xtEUyqaCEut_Lz9SzFikAAMoSYlskaRYUWEpJSg', 'fKBcu6Tpugvb4pL7E4GZY9lqVya4sONzQfaxILoUUkIDya7Ljs-hg16DRb2kpVTthtUslUev9MlL6w', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA', 'PNhDL-_4pHi-e54lW0x_XO6t9uBhfPT573aNbJPVD7HjWYtRUvMp0DSWxBXQegoex2QQV1qc_qPD-g']",1378118
2,EUW1_5557133127,"['PsagkNzuqQPH01a1l-lekWv7SvYb32zsmpbtPHSKJrs6vcJ6xDZhOPmhBGHdmizQgNIPsVOYjDt_vQ', '8QPqN5OmnC5aw3rnpseEVr-yl_JVoxKLNRfJwqff7H4reM2NfQtMaQWdId60w3ad-94gLmES5IXRpQ', 'VGnR8ZgAKYs92ct_gCdEWJGbLlpLr-xIs796mtGVjU_FRGs1d5mVbI0n3iNBeseW7dkioMtV49NWbQ', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA', 'STKNIg18JK6ISIA3DIBR9cMP0evtoe3HSqFiDiP6SVdtCqy6GfJZr5GNZOcDaTyWLSTWwVKTig4rWQ', '61akW5duxA6HxDeGrYa_cmHKuTuP84BYJEP2sakHg3OOUW8zqX459H-fmMpAOGPk3Db-MeFwB_OMOg', 'pUt7qtgKjfuO1nlmEeyiPrk_Nn-woOIFk3KDjFfg1tY5cZi1CsAm7qMtbbtM3LYvrAVxPdoGOa8V3g', 'w1n0FBwhd6kPwpx6Q7DiWwFjhWHuAFFcWrZI61cxhXGdrJkSVteP2EtX4yFJwm-hT2Ue4XcdfdDl9Q', 'P-xzRkmUTAi_b2oDDmuE4c1LC_FId2JGzUHweQMSA6PBW2Ns7SG4bgvP2LvWZLKnwxfiaMUxdvOdHw', '_encYSv0kT8bap7gmGa2vbAsWv4gfI4i-YzMEl989Ygk8xnpXYAqjxuzJmT8lVbPEHfChj3_r46i5w']",1507859
2,EUW1_5557066583,"['Ftsg60FpZRBK0-m8IqiqETALYc-yFullPsXp8UTU_SXGXFqTt2fDcgxdPEybGr3aEBM_jbZaV9CzPQ', 'lF6AcNCD1BiR-4Nl3Dytn71zchxn0gVctsEr015xlvAF0Q17OYuH9LDP7j5SVoorJHtCP-NHMlIJjA', 'wh_nBe2oYGHjNjedb2f0L8d3TvdkobfiTJz-YQsxb4cHlRuXRHZtqH5BNXF7bN4oHNaRaldot23how', 'vn4cKTV5Ch-_2BcxhzfeHrvtSMKigH-bl5V4yeoZR_zWb70l7LW1Z-bDNymecpfWuxwO0nc3bYFZEA', 'Idb6czsywIySbF4mIhm70Klr2FGvvpXmj0OO0Plevq3i1P5tk_-WSdknN03X8RyN9qFUdxecE0gFcg', '9-IWjuVD7DBiDZQel9a4DW5HKeN02t6rAwKQl8zvqvLnARQy_Elz94VqQe09FfnZyGKFn4XH31SVbg', '8fdPlbItw0ivwq_-yZQbAJGr1Aa5jYMechsbcVpYzjVb0q-g7xvWMiGAiZfnrDHRYh9_aPa0OBckwA', 'VGnR8ZgAKYs92ct_gCdEWJGbLlpLr-xIs796mtGVjU_FRGs1d5mVbI0n3iNBeseW7dkioMtV49NWbQ', 'N8orKVPjnrJv2RAE4cOkiGAvOwQefyVPt6mOTlzCX-OKKhXlNcJegxSOqSoAKWDqk6YGfEJNYdGciQ', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA']",1642730
2,EUW1_5556974709,"['BUc7zteuRVZRK7fTOE1VvQbGKgirhuTNCMXkAnlgS2-XSTshfOokQ0ygi5Qdt-kB22pQE8Lsnu40Kw', '1sBOsWZBV_rKeoR2gVI94glT2_n76T25wTMtAxVJHlQp7YW47ia7PcBZAU5HYZLAjOoAHHATYHgEdg', 'emOoD7dcM1nbH-BrvC2SB48r0LfnlPCgzck0MxOv_VoaW1XZmXHdSYDdPQMBxefpVDJsNZmlYCpDXg', 'y7JrYHToOLyKC_cnFqGlBGV-GDVQvozjGVHDqGXr7porfZFYALIMzyYFd2fkK8slTpr3Wa8Cbn43xA', 'fKBcu6Tpugvb4pL7E4GZY9lqVya4sONzQfaxILoUUkIDya7Ljs-hg16DRb2kpVTthtUslUev9MlL6w', '61akW5duxA6HxDeGrYa_cmHKuTuP84BYJEP2sakHg3OOUW8zqX459H-fmMpAOGPk3Db-MeFwB_OMOg', 'Fc5ZBn5_SUXvrFSlt25JfiPwEH-dogpYmzZxSIW0XrwMQRJ7xSYzVCrzhnEzOCJyYuar7lP6CZFg4Q', 'bFWwKTEguPUEqJ1fB-Xq4o-b66Lmm1_buEYbSccN2_os6LqD4l5X5Fwg0uIDP06GvtSIhqI4VZxtbQ', 'Huz50KFefcRxXNJesH1yMxbyMZbi-VcV2EMqxvvYJr78JHU7XoIdrI64rTUTIEtI3GLqMBir1d0SXA', 'bnKjymfsGpHBYqV-_CieoUeEgNj48RrjTC3Ex1qWZetre6f9-v4vga_jSKcOzIEa3DLU8p9OHiyd2w']",1260594
