dataVersion,matchId,participants,Game Length
2,NA1_4093620911,"['lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', '-RIQpeo6qsCiseXXp5_su7v-o8CvqxKnHFQAFv0S8Ps7grEnZu7AkBoQLl3MamHmUwWzPd8c9GBakg', 'NKk4k82dOfBF5JLQrJhNY0iAa0NKArR7gcZdzEPWbYJ7ESn7k40_PguHiBcp2jz8tyQpA5z3FQta0g', 'f5lLA3fsRQOpX1OcyQFOzj9YfPEV3xpWgOvC1DRveGMy_VDHisktU4Od4tfbDQ_YgUVRWz2tMU68ew', 'b5VhxHRQMrHH7BbOn0eQ1NYg8rq65H3Jy7jjbkAUXNMBlDWZQR-N_IVQTT01-IeIfLty0qI8SD3aag', 'h33EMiYPY2UzQTVFRcCa1iajZWXpPeUJckfyAcMi6wnBUsidqZ-iEh4ZjIUeb2IR3RhbImiSxVBv5A', 'bFJXxG6K7A45yYJU4F4BtQ8kG2yFHCJ0yr3vxsi8VJ-DvtPyT-PEA6EzKy3dyjjmIAc2pwuvjcEWgg', 'jcxT5MTTEbEFv-ROjwzWLduzv596XNm_MHa3KBKLJOjlNTmGAvQS3lg3sNDK6GM0BEc_T4MZALDdcw', 'uBSdE-p40N2cmKIUj1r2K7TpQMqlyaIyYn1D9nOfSTqf65y2-DGygxnGjuYmBK73V6kY02F1iOdRkA', 'kXaIf0G22cE7XuxsVrrgR9GNJ3MM-TaneE815AiiwN825QzdGzPSXf-XFh3QzHaA1d9-3Pdpd7AzjA']",2022998
2,NA1_4092581072,"['y2E5EVZcwNF7Ow-X4NS-XoJ7r-K98OpOwHdOak2BC8zj3bmWcPZ0pqR1NjM4cVJykE5mQLOzLvRhQA', '90F65Sy9D1dzC-EiZaRgOcszRBg2QBlu_wXx1oCZf0CHEiXktQBYAeXmPV5Yxtgy6djnlD5UG91YBg', 'LIoJYSwjKg8j0Rl3KPY4tYKl2Uvbi9YWX48y0-FnaN0gkn9LqxhL6AdHX0qZmoj9JqtnZnh-sSvzSQ', 'KQAduBTpLWBjb4y9FP9tqvV_xgpqPMJGE1zmuLdN6viBAYgt8bBtCGhpO81VcWi4xhhglQUcU6jRww', 'WjzWFZzZQSLlj-yvSOfK95WCrjoxORZX_9tQriU36GOgVwF-JaE_PR-ubhYJYgBlykXWCKtefFZpIw', 'DSoB346Lj4r0ULVKUJIazm4LOojCXJMe9JDKrFRekXmA7ehLyUf5l5bmWTxBhO_V8dJMdEbfmgNkQw', 'ItxAr-9dsjr-m5hKn1vzGu0JZgG4iOmPRUvmpodSCYimJM3A6Jamn7l38ZNaiA31Mfzw-Tlq22SVMQ', 'udhS8nMcyctaTN22v3Qq4bseQ32acjIgyhAsPde7X59J2JBv005150A_-SvHVTaNLPvJYjetLQE02g', 'yY_M_Jg0LV3SKN3fyZ0Zyv_aciwrIlTGrpLYSjHUxoDW12P5kxhdGKuovTbj7v9N4f0FiEYewtFyKQ', 'lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q']",1340739
2,NA1_4092516273,"['0ZKavgfNq0QcpzmYM51-gOw533pXlIuCwjOw0dha-9czgkcPg7CC0k7YFMq5Z3eDcG57b1dtedssaQ', 'ItxAr-9dsjr-m5hKn1vzGu0JZgG4iOmPRUvmpodSCYimJM3A6Jamn7l38ZNaiA31Mfzw-Tlq22SVMQ', 'R9Vw4hxGXOCWPMFvO-yJr7C6ncubUou541dyV9cRAdiI65ipzBg6etydM9rQwytAHzG8HrWch0hNrQ', '2n0Jsu1GJ0pD_bbuPhKOGXmCNDcwoX8ayccZHK_wKPmqIp-RyKfZBgeaCgMUOgUIgMbf4Zwi8P9XMA', 'UXrHqLz3SpAlUjDTMHzNfwHh78feDOQFVhhXA-2Wq2R5t6IErwC_rXB3fqPy3paKgq7oB0AhbEr6VA', 'lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', 'NGHy_v3eMUP1CW02fO7gxcowqWUzmmPQkcczWAqEGqlLrvM7fYKdrkJfLy8e4oA_HRK-mnY46Cx45Q', '5KmUT7dKeQo67MENxVIG0S_BI7bNXUO28NhH_DA_4h4LZkM8HNpFEbe8npj-tcLJHpH8gjQKpTfl3g', 'SWPSsyuqydOEk-XXf8cKij8qQa_8j948EqffOp5MWCPakzE5P2eqK4Oylo-EpwW382OBwauZ803v1Q', 'y2E5EVZcwNF7Ow-X4NS-XoJ7r-K98OpOwHdOak2BC8zj3bmWcPZ0pqR1NjM4cVJykE5mQLOzLvRhQA']",2058067
2,NA1_4090622604,"['lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', 'q78Tex24dZwHh23-YksT-fHS9Nd0LOaGiqnF83afQYeMbOyUDTUCzm-PgFmK8uVC5irCAKvJoe5ctg', 'DOAISTlg1UkTITWYPkEyYEc_E4ev9r8OvqlL3paN26xs6kbOy4HYh00x7ux3QmnUtUoYyIYMBncJVg', 'eMUgSZYP4bgH4olptUq1vpJZTkflZZiS7Im0xWhGj_n9qZ0P4AZcmGbgW0Fwfr038NMx1lCPUkyGiA', 'xAirrgiuKoZe8yBb1zHRhL0Oq8zZaNF5broFQwqK7uU7LeVIDcfdKExDbCU4gM2J4Ztok9T4NTxJrQ', '3cH5cfDszIYnKR_n6JEb61HJVVHHjHdMjo01tdF0zmfclMt24tfnWi0GI6napz8Dj3YWVvdd0rvwkA', 'JcyFXGl-4FAk23omNW2jAWl9oKDM7d1wbIUaahBDbio_Ztdql6g3jVL6E8vnQQg3NrkhPxa7K0k9qw', 'DSoB346Lj4r0ULVKUJIazm4LOojCXJMe9JDKrFRekXmA7ehLyUf5l5bmWTxBhO_V8dJMdEbfmgNkQw', '62RVp4h0inRoL_sZHmgdz2bVU9msg7lJUqNCCdjOloAVTXJNumY6IkpDLh4CKq374DankpKwdvxO7Q', 'pXRK9EtyafkK5nZjCgA9jjvRX07-dr5eDDxZhM1d7o6DOSj4Tr8UKrJtcWa7e8ED_LOdeugQfaJX_A']",1277054
2,NA1_4090546150,"['5o-zoXOwGDE3nlNYPNgbgvs5YQBRyBxuwQIiD1FUFaUSXIpTFRqMiK4flpnCzlr_J24trbsT77qWPg', 'lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', 'tJlDMaogfE-Qv5XmYvZ3PXNWGAuv4apEYEnJzpsnB3XfXBlyUogq8wtydAkyGIjrHMEH4WkierF1eQ', 'W8O1mWkDZhkbQ_5wdb5f__Isnish6jTdOXTN1im2uhXjZWSSQHtc5dGK3cWWL9OKyV8hvAOpvmEi7A', 'mhg4fupVzBR7kXsXbrPd0_nhuRIN10rcF-RNbEzYHU3oh-pkmj4ZYX_Ye5oYkDQAgUBflvch0jOImQ', 'w9GeLlKdVAV6ri09BNKkuW9Fs09bK89tHe86YapQjl7rw7A5YdPCccWzrQnqAnqiOjspYuo-0a2thw', '-RIQpeo6qsCiseXXp5_su7v-o8CvqxKnHFQAFv0S8Ps7grEnZu7AkBoQLl3MamHmUwWzPd8c9GBakg', 'Tp9oWaWegrzjgKkx47EgJVHz7IFROr4tqZiL2wNmP8FldGUH10G30KBYPKq9_ewiJdkhWRUtYhLjLg', 'sTYtZ8IF7TDMaQ_rR0yqXn_r2kDhEGdlBsovVgYrx9QJG1RITWzRM8JU2RLqiOKUIqEOmvSEHs0MNg', 'PgSF0MIeuUj3L2IrNw5Js51crFEJLQ-EAODXk_45ouNjZ-b2SogDlchEC2lzXz6DtbAfm9xfRbUtDA']",1971540
2,NA1_4090502542,"['3cH5cfDszIYnKR_n6JEb61HJVVHHjHdMjo01tdF0zmfclMt24tfnWi0GI6napz8Dj3YWVvdd0rvwkA', 'vPEKP2ohRNn-5gCpkA17OdTQHUCFYsOkyM1XSwHEdwrYEqbd2VI18N07WOZRe32QpPigCsHDdKTz1w', 'rd2d2x6XujKFa7MvDry4yYKDGYfpcsSB5k0AMWl7FdL8IoG0n33WHg0ysAKJjHdM5aYZ2p65_eAJSg', 'ZHGxtBAr51tDvbAxUV3bw2B4nuX8mqO3XX6i4A5RWzxDJeTZ8WlUno1oqRQde2Gc0ZAFu2cNWxRkBg', 'LdjrEEJUhV3nBNeBMpewMpefyrxcvCLbqLIsPDPBz1ijPESx7Pf45La87KPrYpye9DYifAjQHER3gA', 'lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', 'z0M8jaVNg_IFXaEuo-bLFLE4-b6TS0WA8HGsuDIgW1JgzthAdiSCkpKazdAhUfxG7VHte_b0eQJULw', 'EKvvmfG6fJtYXSbRg9hW_XFEeL3q7pw8jFhf509aD5egoGJqRw1BXJ6CZMCl0thHIV0i-WdvHODO0Q', 'NwC7aJ4wY8um-DHKQNi5hAHNY-d2lL_kzBsE5zjtziEXXYOSqgVQmYyggClNuK-g2xUladJkJ1nn4w', 'tSSLyBo3VsTufmex0Xng7jaOjbBkSAHHg9fOW-eLuoevsyN2C69s6sPNwQOeXMXyZNehuRHERcmJUA']",1237213
2,NA1_4087169166,"['y2E5EVZcwNF7Ow-X4NS-XoJ7r-K98OpOwHdOak2BC8zj3bmWcPZ0pqR1NjM4cVJykE5mQLOzLvRhQA', 'ADPEw9gzAS41oyPAtygOsX8IjiFuAYADUe6RLbry5EOoM_tDB0he_TfkFihJc6ic29c6xPa97JXg7Q', 'IioOs-RYRLCI2ztRE-kowaqFO-DSSgWgPrEL0lmiM3_XEG1JK_AfK_FmvM_aIimRiW82aSQx6_g60A', 'WDZ5erdmq6jMRBf37ubLfP-GiewPeKmRv5HU--mbol6LKBwxCnYHiM7gN2MiFJzXlxm82geHcmt9SQ', '6ioQTvAz9EcPaH2mFBzIn78aP_UfIDM3W_qhat-VIH_NtLx_ZkMOjrKHpi46x6Ot_5BzwH65PDg9Lg', 'lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', 'cwQk0f9_cYVBOCZFeXzPVwf9ER6-rtkBd3AL9t-W1jP_zij9heyhszSdFUXujqLyEb_nC06d8YEInA', 'pDUvED6ecF3no3oL4cz3vX7QQ4vl4Zq6L5PDjO3QEb1o6fWswCwsWK8XNMw6z-zqascSa7V9EfPtlg', 'ZrfhFeMS_NjEhzv7SRnzFbEc-pLSFDoWJwmnSodE_zcdXFrSJRQZoUDokk0jIihGbnF4JzkI3xPtmg', 'lkHXKY4Ae1JeP6fQrBUAE2a_TmaTSA7deicddBVQKw5o9TUKsVlqZUWFm46RfqLBYhN8wA1kOIQwrg']",1558705
2,NA1_4086240771,"['lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', 'cwQk0f9_cYVBOCZFeXzPVwf9ER6-rtkBd3AL9t-W1jP_zij9heyhszSdFUXujqLyEb_nC06d8YEInA', 'DOAISTlg1UkTITWYPkEyYEc_E4ev9r8OvqlL3paN26xs6kbOy4HYh00x7ux3QmnUtUoYyIYMBncJVg', 'D3aw8KFFfylwLHPCX0Wzb_tDTdhtO9igxEGAwSrEz0FEogAAImcTYEefhoyr14UMoIPFzlDMkuSOMA', 'tSSLyBo3VsTufmex0Xng7jaOjbBkSAHHg9fOW-eLuoevsyN2C69s6sPNwQOeXMXyZNehuRHERcmJUA', 'WjzWFZzZQSLlj-yvSOfK95WCrjoxORZX_9tQriU36GOgVwF-JaE_PR-ubhYJYgBlykXWCKtefFZpIw', 'rsVIyWKL-CmKlbCI80ZrvzlUq9-7GONsk4B-UlndmQYVW6bx8p6t5Ni3Ky-23ualN_EQULbBscrlUg', 'WZbTG6ZKB9EUlWoT3f7ezBs_MoCxQuWhef4hCgQqL3nUK24d2wK2dFKrLXdHyYhOcp71CrWlLQpBpg', 'c_564Vh4VOFvCP4Ru1vmZqedaTG63jdBwmedCUdQfMjq-QBy5suoW7BMwlsJkI-O1OBhuBarcL8MaA', 'PgSF0MIeuUj3L2IrNw5Js51crFEJLQ-EAODXk_45ouNjZ-b2SogDlchEC2lzXz6DtbAfm9xfRbUtDA']",1968123
2,NA1_4086187494,"['F_lH8yaFxRt_5oSVwGsxIcYOimPVGPyDYGMZUeGgQsOEaOAza1ONlRTL00MrxZGSg1BTf5Gct5j3WQ', 'qvKWYQTc0KnBrjYaFGwcnPv1DHasaJnS_AfVkc2WenHcsKQvlHf7T3CGd_nvLOYJ11vlURI852eFaw', 'xxjklePcYbt36pC15G4emaUI-t3rIvoItUvEroo3UGQCFVvmeyTAlnl8jM2dha0IRL87EUOgs7umQw', 'mKxaVN7cNjQnUD_xcxvOvMcCjbUXSZMpYs3_rOuWOTKSUtMMsiUKhRSIaIKTG4UWFj06aKd7g7dAxg', 'vwuoAWQXZzd43i2bpfXpzUHtxwKmW31UdHIUvMDG3GeqL0yIw1K0aFgOo8HmAODubzJaLlfUgCUTyQ', 'lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', 'rsVIyWKL-CmKlbCI80ZrvzlUq9-7GONsk4B-UlndmQYVW6bx8p6t5Ni3Ky-23ualN_EQULbBscrlUg', '5KmUT7dKeQo67MENxVIG0S_BI7bNXUO28NhH_DA_4h4LZkM8HNpFEbe8npj-tcLJHpH8gjQKpTfl3g', 'c_564Vh4VOFvCP4Ru1vmZqedaTG63jdBwmedCUdQfMjq-QBy5suoW7BMwlsJkI-O1OBhuBarcL8MaA', 'N4qqPbJxVFXHS798HDJ-zgYgebSP8MKl0JBuBHaJwxKfuo4q1-AoF4uWrX2CGlwjTosfFtalM3NOiw']",1872261
2,NA1_4084314766,"['Vxv4z0N8VdlFsCPK6bYyu_MD1G_joWpX4TaT-0D2pRDAtiOJhHDoqCV6f1UJX6XrqEy0Yk-GBRwShw', 't7lcqFTGkEo9zUt2Gpm9Q5QhUkv7SJuY1K9dtLoMCs6L-NbtoJ8Xur6ua0F4aeR01sRr3U5PoylN9g', 'R9Vw4hxGXOCWPMFvO-yJr7C6ncubUou541dyV9cRAdiI65ipzBg6etydM9rQwytAHzG8HrWch0hNrQ', 'ZrfhFeMS_NjEhzv7SRnzFbEc-pLSFDoWJwmnSodE_zcdXFrSJRQZoUDokk0jIihGbnF4JzkI3xPtmg', 'PgSF0MIeuUj3L2IrNw5Js51crFEJLQ-EAODXk_45ouNjZ-b2SogDlchEC2lzXz6DtbAfm9xfRbUtDA', 'WjzWFZzZQSLlj-yvSOfK95WCrjoxORZX_9tQriU36GOgVwF-JaE_PR-ubhYJYgBlykXWCKtefFZpIw', '578Iq4-Apx8qE3LkR1ah9arXy_qmfFF2ir76tK2kaIgeR5p-kv66MWNBZ_K26ukI-jKK8nKvMMpjqQ', 'lF8Q5bmMtOTStmNpR9-4weMPQM1KFja4NzGKj6NYv0JV-nJt-Et2umiQGbkixqi0TRoncfIqDApG1Q', 'jRHyKttxCSICmb5fli4npZfJZAZwvHS2RQQL2N835KoCmXwqpkmk6FOdRnZ9z5HaZVJWG6pE20q-Eg', '7JvFiRZZE4t08jec-ekFh30kWZlJi8z1T154yTWeSqwnPOT2P7NBwEI4vjUifryuHSFuNGoj3XlBHw']",1605136
