First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
5,2,0,2,1,0,1,0,0,0,99,9,2,0,0,135,9,2,1,1,116,11,1,0,2,127,10,0,0,0,26,7,1,1,2,92,9,0,3,0,117,9,0,0,1,150,11,1,0,0,109,8,0,3,1,14,8,1,0,1,-1
5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,1,2,1,5,2,2,1,2,7,2,1,0,3,3,2,1,1,2,5,2,0,2,0,12,3,2,1,1,12,3,1,0,1,3,1,0,1,0,1,1,1,1,1,-1
1,9,0,1,0,1,1,0,0,0,113,11,5,1,1,87,9,1,3,4,115,10,1,3,1,101,8,0,2,1,19,7,1,3,3,116,10,1,1,1,111,10,3,3,0,119,11,5,2,1,139,10,1,0,6,16,7,2,2,1,-1
8,0,0,0,2,0,1,0,0,0,115,10,0,3,1,118,11,5,0,5,118,10,4,1,2,141,9,2,0,2,4,8,0,2,5,104,10,1,1,1,121,11,2,0,1,105,10,2,5,0,132,9,0,1,4,17,6,1,4,1,1
3,0,0,2,2,0,1,0,0,0,138,11,2,1,0,77,9,3,2,3,130,10,3,3,0,107,9,3,2,4,11,7,1,0,7,90,10,1,2,1,119,10,6,0,0,132,11,0,1,4,106,8,1,6,2,30,8,0,3,4,1
3,0,1,0,0,1,1,0,0,0,115,10,1,1,1,87,9,2,4,2,116,10,3,3,1,107,8,3,3,2,28,8,1,2,4,128,12,4,2,0,107,10,5,0,2,128,11,0,1,3,75,8,1,5,4,21,8,4,3,3,-1
10,0,0,2,1,1,1,0,0,0,116,10,2,2,1,83,9,2,2,3,98,10,0,4,4,84,8,4,7,2,14,7,2,5,4,91,10,0,2,2,91,10,6,0,3,112,10,2,1,3,103,10,9,2,6,16,7,3,5,8,-1
6,8,0,1,0,2,0,1,0,0,97,10,4,3,4,71,9,4,3,2,102,10,2,4,0,107,9,0,3,3,19,8,2,7,5,128,12,5,1,3,74,9,1,4,6,119,10,2,2,3,130,10,8,2,4,26,9,4,3,5,-1
9,9,1,1,0,2,0,1,0,0,127,10,0,0,0,107,9,0,0,2,125,10,0,1,0,105,8,0,1,1,2,7,2,1,0,130,11,0,0,1,96,9,0,1,1,131,11,1,0,2,148,9,2,0,0,18,7,0,1,0,-1
2,6,0,0,0,2,1,0,0,0,73,10,2,4,3,63,8,2,5,2,86,9,2,2,0,89,8,3,3,2,24,8,0,2,5,132,11,3,4,3,97,10,2,1,5,101,10,5,0,1,112,9,5,1,2,23,7,1,3,6,-1
5,6,0,1,1,1,0,0,0,0,65,9,2,4,7,102,10,1,3,1,103,10,4,6,3,123,9,4,3,3,28,8,3,2,4,113,10,2,2,0,155,12,8,0,2,86,11,4,3,5,84,8,0,5,5,8,8,4,4,3,-1
7,9,1,0,2,1,1,0,0,0,84,10,1,5,2,59,7,1,8,2,103,10,5,6,0,9,7,2,7,3,59,8,5,5,3,49,9,4,4,13,69,9,3,4,8,68,10,10,3,6,102,9,12,1,4,28,9,3,3,13,1
9,8,0,2,1,2,0,1,0,0,86,10,3,5,4,78,9,5,7,5,95,9,1,2,0,100,9,8,3,3,30,8,2,5,10,122,11,3,2,1,100,10,1,4,10,108,11,6,3,3,98,9,7,6,3,9,7,5,4,8,-1
5,2,0,2,2,2,1,0,0,0,109,10,0,1,0,108,10,4,4,4,101,9,1,3,3,83,8,5,4,2,22,8,1,5,10,80,10,1,1,1,128,11,4,1,7,114,10,6,1,1,106,9,6,4,5,32,7,0,4,11,-1
3,0,1,1,1,0,1,0,0,0,120,10,1,6,4,80,10,4,3,3,111,11,4,5,1,121,9,3,4,2,3,8,0,2,4,71,8,5,3,5,105,10,4,2,3,95,10,0,2,5,138,11,9,2,0,6,8,2,3,5,-1
9,2,1,1,3,1,1,0,0,0,131,11,4,0,2,91,10,5,1,0,138,11,2,3,2,108,8,1,5,2,6,8,0,3,7,92,10,0,3,0,99,10,1,1,8,118,10,4,5,0,116,9,5,2,2,6,8,2,1,6,1
8,0,1,0,0,1,0,0,0,0,88,9,4,2,1,109,10,1,4,2,89,9,1,4,1,102,8,3,3,0,5,8,0,3,2,99,10,3,3,2,95,10,5,2,3,117,11,6,1,3,143,10,2,2,1,22,7,1,2,5,-1
7,7,0,2,0,2,0,1,0,0,97,10,1,1,1,82,9,1,5,0,97,10,1,2,0,102,8,0,2,1,8,8,1,1,1,131,11,2,1,0,125,11,5,0,2,108,10,0,1,4,74,9,3,1,0,22,7,1,1,4,-1
1,0,1,0,1,1,0,1,0,0,133,11,2,3,2,94,10,5,2,2,131,11,1,0,3,118,9,5,0,2,19,7,1,6,4,85,10,2,4,2,103,10,5,3,3,110,10,1,3,2,112,9,1,4,5,14,9,2,0,4,-1
10,4,0,1,1,1,1,0,0,0,59,8,0,5,0,91,10,3,4,1,72,9,0,2,1,110,9,2,5,2,4,6,1,6,3,15,8,4,0,5,88,10,7,1,7,126,10,4,1,1,92,10,1,3,5,129,11,6,1,1,-1
6,0,2,0,0,0,1,0,0,0,123,10,2,3,1,108,10,9,1,4,117,11,4,2,4,85,9,0,1,7,25,7,2,2,8,121,10,4,2,1,78,9,0,4,4,119,11,2,3,1,117,9,2,1,1,23,8,1,7,4,1
5,7,1,0,0,2,0,1,0,0,119,10,1,4,1,107,10,3,3,4,114,10,0,0,3,106,9,4,4,3,9,8,2,4,5,99,10,2,2,2,81,9,7,0,1,116,11,1,3,4,131,9,4,2,2,25,8,1,3,8,-1
4,4,2,0,2,0,1,0,0,0,119,10,1,1,1,102,10,6,1,1,106,10,0,2,0,117,9,2,2,3,20,7,1,3,4,131,10,1,1,1,100,9,4,2,1,102,10,2,1,1,103,8,1,2,3,15,7,1,4,4,1
1,8,2,0,0,1,0,0,0,0,112,10,2,2,2,106,10,4,1,7,83,10,7,2,4,122,10,4,1,3,31,8,1,2,8,69,9,3,1,0,62,9,2,7,2,115,10,2,4,1,107,9,1,4,3,22,8,0,2,5,1
2,2,1,1,3,0,1,0,0,0,122,10,4,3,4,107,11,5,2,4,130,10,1,2,2,103,9,1,3,6,17,8,3,4,5,94,9,4,4,1,94,9,3,2,4,121,10,2,2,9,130,9,5,2,5,19,7,0,4,7,1
