First Blood,First Tower,blue dragons,red dragons,blue towers,red towers,blue herald,red herald,blue inhibs,red inhibs,CS.1,LVL.1,Kills.1,Deaths.1,Assists.1,CS.2,LVL.2,Kills.2,Deaths.2,Assists.2,CS.3,LVL.3,Kills.3,Deaths.3,Assists.3,CS.4,LVL.4,Kills.4,Deaths.4,Assists.4,CS.5,LVL.5,Kills.5,Deaths.5,Assists.5,CS.6,LVL.6,Kills.6,Deaths.6,Assists.6,CS.7,LVL.7,Kills.7,Deaths.7,Assists.7,CS.8,LVL.8,Kills.8,Deaths.8,Assists.8,CS.9,LVL.9,Kills.9,Deaths.9,Assists.9,CS.10,LVL.10,Kills.10,Deaths.10,Assists.10,Winner
4,6,2,0,2,6,0,2,0,0,145,13,1,4,3,177,13,6,1,2,154,12,3,4,1,150,11,4,4,6,13,9,2,6,8,189,13,3,1,1,108,12,4,2,11,173,12,3,4,4,26,9,0,5,10,145,12,9,4,6,-1
3,4,2,0,3,1,1,0,0,0,154,13,3,3,1,131,11,1,3,7,155,13,8,1,5,183,12,10,2,6,11,9,1,5,10,178,13,6,3,3,124,11,0,4,4,153,13,6,2,3,113,10,0,10,2,15,10,2,4,11,1
7,7,1,1,0,4,0,1,0,0,113,9,0,5,0,88,9,1,4,1,117,10,2,3,1,130,9,0,3,3,6,7,1,2,2,98,11,2,2,10,94,10,5,0,7,129,11,4,0,2,116,10,5,1,6,24,8,1,1,4,-1
7,9,0,3,2,5,1,1,0,0,125,12,3,4,3,106,11,4,4,3,147,12,2,5,2,141,11,1,7,0,2,10,2,8,8,122,12,4,6,3,111,12,10,1,8,131,12,4,3,8,160,12,8,0,7,27,11,2,2,19,-1
2,2,3,0,3,1,2,0,0,0,123,13,8,4,8,114,12,13,4,6,129,11,2,4,7,166,12,7,3,4,6,10,1,1,12,107,11,3,7,4,103,11,7,7,3,173,12,2,3,5,150,11,3,7,2,21,9,1,7,2,-1
9,6,1,2,4,4,0,2,0,0,151,12,1,6,3,150,13,5,2,2,165,13,4,3,4,196,12,5,2,5,8,10,1,3,10,167,12,5,3,2,139,12,3,3,5,175,13,4,3,1,121,10,3,3,3,42,10,1,4,8,1
1,2,1,2,3,3,1,1,0,0,148,12,2,1,2,144,12,4,1,2,154,12,0,2,5,193,11,2,0,0,5,9,0,1,4,165,12,1,4,2,139,11,0,2,4,195,12,0,1,4,185,11,3,1,0,24,9,1,0,4,-1
1,4,2,0,7,0,2,0,1,0,163,13,4,5,0,125,11,3,2,6,131,12,8,3,3,160,11,5,1,4,14,10,0,0,10,144,12,4,5,3,141,13,6,3,2,103,11,1,6,2,187,11,0,4,1,30,9,0,2,4,1
4,9,1,1,2,3,1,1,0,0,158,13,3,2,3,153,13,6,3,4,144,12,5,2,1,145,11,2,3,1,20,9,0,2,8,135,12,4,4,1,125,12,2,1,5,167,12,0,3,2,177,12,5,4,0,25,9,1,4,6,1
3,3,3,0,4,2,1,0,0,0,137,12,2,2,5,135,11,5,4,6,175,13,8,4,4,142,11,4,2,6,14,10,5,4,8,145,12,3,9,4,137,13,6,2,4,169,13,4,2,5,142,11,1,4,3,14,8,2,7,7,1
6,2,0,2,3,2,1,1,0,0,127,12,1,3,6,141,12,5,0,3,163,13,5,0,2,171,11,1,3,2,12,7,1,4,7,127,11,3,5,0,139,11,5,1,2,114,11,1,5,0,164,11,1,1,2,34,9,0,1,7,-1
6,4,1,0,3,2,0,1,0,0,135,11,4,3,1,141,13,12,3,10,178,13,5,0,8,193,11,2,2,4,29,8,1,3,8,186,13,8,1,2,129,11,1,3,2,153,11,0,5,0,116,10,2,8,2,30,9,0,7,6,1
3,1,0,2,2,3,1,0,0,0,179,14,6,0,0,166,13,2,2,6,122,12,4,3,2,146,11,2,6,2,7,9,2,1,4,165,11,0,7,0,163,13,5,2,2,157,13,3,2,5,195,11,3,3,4,8,10,1,2,6,1
2,7,0,2,1,4,0,1,0,0,116,12,3,7,1,127,12,5,3,3,132,12,3,7,1,156,11,3,4,4,13,9,2,2,7,171,13,6,4,1,132,11,3,4,2,131,13,6,0,2,191,12,5,3,2,12,10,3,5,9,-1
4,0,0,2,1,8,0,2,0,1,125,11,0,6,2,96,11,2,4,3,151,12,5,5,1,138,10,2,7,1,8,9,0,4,4,170,13,7,3,2,141,13,11,0,3,151,12,2,3,3,155,12,5,3,5,13,10,2,1,9,-1
3,2,1,2,3,2,2,0,0,0,195,13,2,4,2,144,12,4,5,8,162,12,3,6,4,182,12,11,1,1,3,9,1,5,9,162,13,1,2,2,115,12,12,5,4,144,13,8,2,2,110,11,0,6,4,19,9,0,6,11,1
3,2,2,0,5,0,2,0,0,0,143,12,2,4,7,89,11,2,2,11,140,13,12,3,5,224,13,6,0,3,32,9,1,0,10,145,11,4,6,1,119,11,2,5,7,138,11,0,5,4,165,10,2,5,1,31,9,1,2,4,1
8,5,1,1,3,2,2,0,0,0,150,12,2,3,5,111,12,8,1,12,194,12,7,2,6,104,11,6,6,7,12,10,4,2,15,160,13,2,2,3,118,11,2,7,3,136,13,5,4,4,143,11,1,6,0,17,8,4,8,1,-1
1,1,2,1,7,0,1,0,0,0,190,14,15,2,5,124,13,9,3,6,129,12,7,1,15,146,12,11,6,10,29,10,2,4,17,83,10,2,10,5,166,12,5,5,3,136,12,2,9,5,90,10,2,13,8,28,10,5,7,6,1
10,2,1,2,4,2,2,0,0,0,184,13,3,4,5,133,12,4,3,2,160,12,3,2,2,139,10,2,7,4,6,9,3,5,4,108,12,1,4,4,136,12,7,4,2,140,13,2,3,2,174,12,8,2,8,40,11,3,2,10,-1
6,2,2,0,4,1,2,0,0,0,174,13,10,4,2,112,11,6,5,5,135,11,6,6,6,109,10,4,9,4,31,9,0,3,13,117,12,5,3,8,99,12,7,6,11,125,11,4,6,4,118,12,7,7,9,12,10,6,6,18,1
8,4,2,0,2,1,0,1,0,0,126,11,4,2,2,109,11,7,1,7,79,11,10,3,4,129,11,5,0,8,11,9,4,0,15,77,9,2,5,1,108,10,0,4,3,115,10,2,5,0,101,9,0,7,0,11,7,2,9,1,1
