summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
vjc7hZ_8n7ZRxSlXVw_-WbcQtzVc4LfimUJiNCIiQMXvJCQ,waybkeria,926,I,457,414,False,False,True,True
24cGoNa8j5S2QyhlHaymyn7nWq1CO5kuMq-vaGcgz3YM6A,Pepe,948,I,230,189,False,False,False,False
Vr4ROrc3yjVT9CA2MskdoCVTSDinfhtbMY6t6n_NotYvXiji9UAc5wjSIA,scarus coeruleus,1033,I,206,148,True,False,False,False
r_iS9JqgQ1PTInr7rYi_PMEc6oXvbwJwFMb477u4tpe-,azek,1016,I,898,838,False,False,False,False
wQcNGtHs00KwmBq7BJjke8qjrxxv1Ir00P0am1lzDVRu3_sI6w3po6Y2pQ,joji,1203,I,195,141,True,False,False,False
KS247y-tDVXwLVetMfSN9EXKTy75V5QhJ_FjVUSbULoz-58cjOS8vAlGNg,KrastyeI,911,I,315,271,False,False,False,False
zZpc5X0WgMjxv6tt-QJBmstAcRFYRQvULZvtQhnxChFkhg,Im Lukan,940,I,344,296,False,False,False,True
_aneCLamx7wsCBnn5YBnb4yo8vTjGDOkXPR6FrKMi3AJk9Y,s9gm3chatpergame,967,I,446,401,False,False,False,False
WmOR0GPedzN9U4whUkZqcDp4MDHs4Q_ijMr5tdneesniil0,kimi no chikara,931,I,537,469,False,False,False,False
CKJlOlvOsWfIhS07V5ysaGlzhCzD83b0jIU0djHQaxWl9q4,Curse2,960,I,429,368,False,False,False,False
qN8Nt5yuABPtg6bSPbR-UETS7qKP8uJWald-IIdMIcbhZw, Kuzy 1,924,I,559,508,False,False,False,True
mM-nquLhg95HR73m3ghNLG-O7frupVjl1EoB8cVa_CPQkg,PAPALMITO XD,923,I,965,925,False,False,True,True
QQZ6S3pcJRKvL17ahhWzOSMLy9Rm4YmRpUKwqUXnvl0PaQ,Jóka,960,I,228,177,False,False,False,False
ZHUCqJ8bKHOoKHTXCUmc8UGpc3As0rQRET3nmxQgRSQ5DA,Jesusz Only,925,I,611,559,False,False,False,False
Tm7laJIizFVsTckMVYoPnKFM8xtnihb-wlOHU2-kNiJc6g,Picknn,1018,I,663,602,False,False,True,False
nJHQ7fuAg85yM9mzu9-f3B7EgvaOeZUwqX5L34cOQb8_7Q,First Kyu,973,I,294,252,False,False,False,True
Aho3Nt8-mJP0I3fw-5BdJhgwKNAgfsf00PhfgCufu3IuzA,KJ Allen,928,I,144,98,False,False,False,False
dMTU0o-tlRqma4uLI0ArLEv6Gbi3iHP8_MhHb4VZX-BtQQ,DISAMIS MONSTRO,1057,I,258,193,True,False,False,False
EbautzRWffp2kS9TSLYUdchE9KApPQZEy0d_FOP045oegUE,Paradies,922,I,382,319,False,False,True,True
N7P2zDOQLi707EL84QFQKA4QfbJYOIDaGTLL3Btrvqchnn8,cici,1250,I,301,236,True,False,False,False
Q_8gXhQ1bXJk07TpgIEzYQTT5uZ6qTK5me85CzJq6pJ4C8dEeZHOpUsQLA,shady mathers,1348,I,130,61,False,False,False,False
1tdxjbwoQKBAPQBHGH3GxlDub4Die97f1C6pTRfXvr7oQw,devils den,999,I,114,64,False,False,False,False
H9lOfrjlPR2RbhBoDbdL2s3_3Wr8YtEXHlDwnSvvgRtdAfhABHXRwU6JxA,goodkidmAAdc1ty,1219,I,697,615,True,False,False,False
ads-4QQ8zggAYy3SpdCnEV_6deX98zvpKF8WK58dMlQUTQ,sixsixsix666,930,I,725,692,False,False,False,False
QSvf4tvnfKBj9wyuzw0S4CpeuItbjYS7NyoYUpxdMKDS,Seithr,1034,I,602,554,False,False,False,False
EAPhmlasfUEo1mkLZcx6Hp9jqK1ye18bXn9TeCjpJaI8rA,sssshy,938,I,147,101,False,False,False,False
W5osnUqyaAY8KCix4jEw_Ao2YQCjdbiZk9h0mfdGWmrzcg,arimoriy,1073,I,540,466,True,False,False,False
Jm2zhMz0w2Gt9UOnFeKdCXirOMYFrpUiVeqohTmskUW3Dg,lyly,912,I,743,685,False,False,False,False
NXjPMVpYrQrRABlgoLjvrt829cHvnGhzgRkOV_ar8Nh_,UnderSky,939,I,466,414,False,False,False,False
vP6GtgG5iQUgZILVDhPJS7-8p-G8E40CxU5Qad4mrio-ow,PedroPhZ,924,I,302,264,False,False,False,False
e9PVJmThppQZjiX9HZlZtihJUWN2lYLY-7A1BtKFtKmKkw,Brance de Neve,1100,I,1073,1008,True,False,False,True
YwNMeSVPqXi85Poh3_H8c7eOLcSRkztRlS7GRb9hiHbLxGc,jelp,1010,I,242,190,True,False,False,False
c41Z-1NLSxq3ZO0Yci77w4BMdIflzPI9Sbv8hCQtYmH7qARG24O9J6RZ8g,european boy,917,I,191,138,False,False,True,False
-8ADSIK_5XDycq9Ab5Fo7mjIJGNd_pKY4g9ejxice93KuA,berg,953,I,372,324,False,False,False,False
g40bFonlLtkcdVUsfBLxaMtHJr9S5qNiSETmHJyT4Xrn1Q,Morttheus,974,I,633,566,True,False,False,False
y9CkH8Q2e4rvYu7i4CBawpA6XegRbEX9y_AgNGS3xuS4rGo,PROJETIN FELLAS,1308,I,458,376,True,False,False,True
D5L2aKI7MDoVOwgS8RIF6D5l1FgXBvZEa9370--OwG3XXGY,ySkyTech,963,I,320,270,True,False,False,False
NEP6ZxGfqIcfOg_QEv6Yq2ihjNvrrrkkfBMzOQtWC6LiWgE,Leving,1190,I,308,230,True,False,False,False
F77HABQB470b_hTlcZvgPtE4l_6EnrtVk1md9CxCfroRmYk,Tirano Onda,903,I,295,249,False,False,True,True
SNklLcdnEBbl2fMY56laS54TuNhj70CdhQ1YUXHCObOUIPo,sekaM,1415,I,223,139,True,False,False,False
GrJtblW2cewfzpoT1cLrT95z4mgO6HOpVONICz2CSQ0zUSk,Fenghuang1,932,I,125,88,False,False,False,True
ek8OpZ59J6bUK9uGse5zgF70oAGFbVIuIEcUesGgbikY,frozen q congeIa,907,I,429,387,False,False,False,False
Yhc1p9cK8vJXZ4_CPEH5H9Kkcx0ssjpZ69vvah0SkrTtjA,RAMONDANONE,928,I,932,886,False,False,True,True
-RBsZ3h58tWs2hHQKzk89gXDNtTwuXboEurh-rds_ams,darksai,948,I,110,61,False,False,False,False
KkpxONqz8ePcvLrt1NEl6S5OlpGWl6iJTcBH8oeKDOQdYQo,ayato,931,I,159,108,False,False,False,True
tBI2irw9flflsJuGiOQJa81b4O5-RONjy_aNUojo4NES1A,yukilol,938,I,543,496,False,False,False,False
oZM_5z2H1wPU6kBj3PKAd8JQxn0u9ayUw7t1DGZ-ugtAm24,sxmkz,1038,I,135,92,False,False,False,False
qKJi_nAIvwhRAHbLTkS8jlr5ucgDA8ZtiwM71HGdU4GIEw,no one knows us,934,I,494,444,False,False,True,True
89kSEoeLZmTRVGDlZGttT60tYfMWwATf4EnH4_KHfabZpYw,KB3,1013,I,481,420,False,False,False,True
lmkS76oq9EFJ8fQl4T_ie0_Va2-xSKijHpxfNgA93FRU9W8,zay,1226,I,325,245,True,False,False,False
-rPyj4mq70v2-2ps3QB4p5BFRIzQIRsq9y3_gvuaYK4masM,Josedeodo2,1358,I,135,91,True,False,False,False
-9lQEyfouDF6yvQbw4F7pl36ozElRVxTecYDDk1PKrnfBw,jkjuzo,1066,I,376,322,True,False,False,False
qkybwNFWvfqiuBPpaVS7ZXlgu7KzlzyiCjvwa6uioVNyjhw,W1NTER,1028,I,431,372,False,False,False,False
hX-vIyNvVU05ZhZb2uMxZ5H8QDjI3RCsJLPmDj7P8SaPoA,guìgs,1025,I,530,471,True,False,False,False
