summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
_Esem2oRZK-LdvARNL0mJdJHgccmGCCue6GeAiRPwx4UET0oy_WE0EmQUA,Mamm60n,1145,I,134,93,False,False,False,False
NZpd9LbtDDr9Px7rj6JA9gxAYE0EaEJRqIFSm8sV4mTkgzE,Peachy Baby,891,I,219,193,False,False,False,False
Z9k5pFSBHrilEd_IvPdvxdtdigt8vRf2N0SiWc7VkR2CrOm4aFk1ooePQA,Laura Brehm,888,I,98,63,False,False,False,True
airnrW33lloHlaZjxg7YQ4rbbSFIywerzXsoAlkCbXtt6wU,Ðžejno,910,I,219,171,False,False,False,False
s_OXQfIIM_O35jSEasTY2rg_84ZNlvW4NQFqQkxXcn1B9Qg,Different Humble,980,I,193,149,False,False,False,False
1N3cmfValcUWHdA8iIH31WpThVxG2Jxi1hsn0CAva6ZE6y8,jorskiiii,878,I,143,108,False,False,False,False
BTWtegAtaLzc3dJCLhobkhM_-YwX9bFmUwl6DNWNrngFpvc,MomoVeliaDeviluk,871,I,80,36,False,False,True,True
IikC14KtF-txw8IQ1J6cdXksaCOtaQryF2_c9Aokf4lkv8c,Mæstro V2,1034,I,129,102,True,False,False,False
lDkaoABZxmFgIOaR5DAil45I9hiN2gKKSe1SzabtNo0pfL4,xlnt,1320,I,491,428,True,False,False,False
bK_mHNUlsOxUhdnNNejbQE4pJTCvxo4ZCMy5gCti3Rbj6Rw,Porosaver,877,I,472,437,False,False,False,True
zLdemxC4l73gr8BQgYMPJdcLjch4QnxUPPHS0AyZ_wenFjY,bet u wish,930,I,117,62,False,False,False,False
omx77JuDu8xDgnNozIJMGq38L5APAxHdMBQeH09CqQJQn6k,lövhögen,883,I,134,101,False,False,False,True
-5Fy-3tOc39npJs6dpB841chh7GrCldF3Ild7OsDbF9Ox_nPNUDRiFkmXg,lonely 7,927,I,109,58,False,False,False,False
sQEjwdWpl_ir8SShTLKHWtoCcHe3Ie11vNAd07mXKzAqwzc,Mr Senuai,1021,I,245,178,True,False,False,False
NoiSsT5pDZ2-Y40AlamTbtC9-yc_yMR4YhEODmuw5sNXTa0,torpeek,880,I,202,173,False,False,False,True
m7Z9CoDvQhUFg-Ko5vldKqsPzEqcyaX3xbjFERR38b8sosw,YoPoopU,888,I,154,120,False,False,False,True
MirYU6suxOkYd_I8xxg5QsULI1_1YcnWgqY6Dcq1FDnRcuI,MadBrØwciuLife ,980,I,273,235,False,False,False,True
NVpqOrJL4DyMVN5yMP7odR0PX761058xaw4f20IfpQOKEGc,Litny,1486,I,272,208,True,False,False,False
hDBhesCsRgjYg1ieG1fSsT5B1_CAApB2gnYV62BiZyC1Ry4,Coatpustmain,1267,I,245,191,True,False,False,False
mG7g5KFzp9NkQf3_ciK5NIcEA5W732ZUkJfJyvQ-NRridvg,Ih4tethisg4me,870,I,477,452,False,False,False,False
4Qm5ys-PHuYewhRSLRGq00nDfFqs3aqrfpe7mSJ1qAFDS7A,hobi,892,I,97,42,False,False,False,True
IeRTf3RZmnaoRPjfj_WnNsp-zTtYdjlpBaYgH-7odu2cphDDYaTC5AQDvA,cinca,1100,I,221,161,False,False,False,False
2rdTqSvDkA2sGwmVN0Vh2ZOlt8xrRvMf75c7bA_qlIOzZwo,Rinkhalz,874,I,186,136,False,False,True,True
vmtJ4sqbD8Y61YBJdt7eA2m03335QCOfR1BHM04nKPtwBCw,Térrør,875,I,241,205,False,False,False,True
41rn5OFCSf_5KBwCCkF-Cisf-8Z5zu5NpnyIlB-YZwpCGTk,hi im Nekro,1458,I,257,176,True,False,False,False
QBBgZr97dzq_rCshPWeDyJALVcN6hUQwxV6omt66wPYM3Uw,PressR DDave,902,I,264,232,False,False,False,True
