summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
nKjF8rfH7OHRrPzvz7U39GFPwG-35hZhk77LFm7V-6KIGWAZ,hiro3,982,I,572,510,False,False,True,True
WCjoz6HH5FW4P-dmqG5h2t30PxCHR2e-f48asJc9OuWAiWeF,Fatihcan,1013,I,626,570,True,False,False,False
pFkOGp2XjIOq3_x6IHSWIQwy7H-AHaQNCTN1nMDxRkD4Yd8,partlycloudy1,1137,I,530,476,True,False,False,False
9DweOmf_DNdPI2gHh_EhtXkag1H6hWzomk1PSeWv84cNMAU,school phobia,1000,I,354,270,False,False,False,False
DzP-fGclPPg4zoyMZZrFJGtCm1afpIcalWzXwPdca7Wf9pA,hi im keduii,1104,I,920,861,True,False,False,True
uMa3voedvMZ1IkwTFwg9y6lDwXxLbhubRq9mn2JO9XNoYmM,ismaaa,1114,I,621,563,False,False,False,False
bbDyVckZefxmFZBDixyYJMeZ6Qi7reb8YgGgwZ1KZ9FbSyrh,Unforgiven 16215,1094,I,99,73,False,False,False,False
JCGo7DegxyHdnVm7y2i767wrBevSFkGshMKx9tbVawdLsbDQ,113 XD,1220,I,248,182,True,False,False,False
Jc8myna-27Q8deLcBd1bPkmaRn7GcwTDrkWClyUUUYvyoxY,Tore den store,976,I,401,349,False,False,False,True
hSTYpA-vIQr6tU8tAIvcRLQcG_0GG-rKZIhKfnDbKEmSVN0H,iljimae yong,1000,I,192,130,False,False,False,False
Ci2kzcJYsOcQjsKAgmg5zddAGvbeDNd3gl6kjKSHyvORXmI,Kldfar,1013,I,228,160,False,False,False,False
idawF7lJPR2rchHgfluvXdHn-93K4oxAISEULsDPoeVxn0Q,Practice,1100,I,312,246,False,False,False,True
yFkjfKTb14SlImGWnSCCj1Li2d3UxPcb_Sf7kssnbGXY1bKJ2h6Ap5Gxcw,MAXI dat boiii,1170,I,452,369,False,False,False,False
Fy9JLb1lhYuE2g12hH72H74-WNEPpZ4IvGncejTYKJ7WQwE,FGG,1048,I,438,381,False,False,False,False
h7DP3c-8lGDoHrXiDbME0SicvMpLKL87t_z_Ma_4QrrVoNI,Happy Alexx,1080,I,638,584,False,False,False,False
jjcV5pYTR4VGR1FR_BwMFbrH5w-EBZp8X7-mbux1my8k8_aj,VIT TroubleMaker,979,I,814,762,False,False,True,True
UgepeOeNmjPkORDy4NDDrZF1XA9cN1qBJ39stGPr2TcIc_U,Roi DEMON,1040,I,403,349,False,False,False,False
pFeHbNuEfr7ScQGxkdOOaCnlX2CeOGAf89V4DNyX4yZmH-vr,BornThisWay7,977,I,200,146,False,False,False,False
Xo34IRnjr9h4wacI9EUjJzcLCJEY6WcGjJxWgKiuKuZLbX2a,TwTv Reptile9LoL,1156,I,255,191,True,False,False,True
Px4JrhGo1aXe8jhmkdQ65Y1_8k0NriVC15UHHl2Y18_43oo,Ragnér1,1104,I,455,390,True,False,False,True
nX7minne4Ka1NHMP0fQn2CgGHUPdsNnz_X76e2QTuX9kPGE,TheRoyalKanin,1146,I,1014,934,True,False,False,False
ai9w29MJqUxhdq-Fseu7y1y07OwpEbqhyMhwoFVXKEXRzEk,człowiek z gazu,980,I,461,422,False,False,False,False
XC7o4AIWdGfGcOTF80lMUXfGU2J9AL95YYjFH-6o_efFMppl0h_zgr6q_A,dntmdgkrhtlvdjdy,1268,I,171,98,True,False,False,False
uJaIYuY1gN1rDsZ3Dw2-Y1LG-8nJT4BJCQ8WbVQRsvJTBdQ,Decay0,1044,I,948,888,False,False,False,True
llMmMcCUsbgTOTT0hXmS1DqcGISKKK7BeOmYCrDmXUJN8BE,tryharder123,1158,I,653,588,True,False,False,False
iQgqladFAu-qrpG5i9bJTQU39lxGHPuTBeQ6W78hEzrELX0,MSF Sertuss,1262,I,1262,1178,True,False,False,False
9bv-EdRdAcM4rdfJO9jExZ3jQZ5sG1YxCImaBtM7dy4QYh8,Koupfonga,1071,I,509,450,True,False,False,False
I1-FJIXplgEBjHudUkXz0QwnXA9l_XasN_7jpIN6hWR348bL,Gilius2,987,I,335,276,False,False,False,False
zN11dEQNdmrxTCL4-YHdjMUt04ReErknsejL41R10QcLlQ4,Unforgiven 86538,1042,I,126,92,False,False,False,False
cTnHNEHSjAhawWq33VSGrlBw-tPY4dBG61zqixvJek-x28SK,potatoporcupine1,1142,I,925,853,False,False,False,True
eEUK_3Mxcg-QbLnyHgJ40ahL0tsiYDFcXb3ONvyO3mdqxw4,TraYtoN,1026,I,578,534,False,False,False,False
fmZQ0FS0lBcGhjASG05uOhVyTXiBZ2ITnqTW68ssVM6oEJXh,balagan,1169,I,198,149,True,False,False,False
WCmK7DSXPnwA0fq6LXnQ-hlKBlc9U07XyHxaTpAqLMWHDKQ,Ploxy,974,I,415,371,False,False,False,True
6ppOwNKVVAfJr7ZOyqPyK4di-zpI6JQn9jYPWxiWmAcwvEky_3mDtsqgoQ,LithuanianCanyon,981,I,154,102,False,False,False,True
o-XLnnEzP_JBzqCUEwpu0K_-txIL5ZM4AU4TLbPNDJI1oA1Q,Moving Object 2,1008,I,824,773,True,False,False,True
eLpiS2x5U-CUcKu-nN-9EndTe64RzhSwGfPxGDxWFF18NOBNqbLKqPSnoQ,best viego ever,1344,I,229,151,True,False,False,False
_EYdsktths70r43FtB7vra52y-11Mludktj3g2gDxwdkd9FR,Jeg Elsker Faxe,987,I,279,224,False,False,False,True
tACpir8_5TnU621HaGuoDwiuKdrqXwznn4hLEw1E2-Fhx0U,Cutepatootie,1001,I,421,373,False,False,False,False
e97d9fafd93KJHZpAwlpq4bPojEOAAusEQYXQSpeqEZhUdE,Erdotee,1101,I,461,398,True,False,False,False
SSjxACeUFeRBh-vD27WpoJ08kW474iW1oJ2R2PSA0E3lbw5WM6OAeoLQOw,twtv Melljo,1116,I,212,151,True,False,False,False
eMz3P_WIaIR25icLvRfvmh6VpX4Am861GW3hq9-_zknYugdl,chance no exist,1033,I,1109,1050,False,False,True,False
elaiYxjsBJ1T46eNHD0ZNwyPlic6KxYuKg1YifKrdYzARms,Ekko the Neeko,945,I,1267,1217,False,False,False,True
