summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
VIjBo5K39OyGA2k3Sak5bbjk_IhKnkmkeY3w7LDOXtaW1g,エレミーオの櫛,924,I,141,105,True,False,False,False
MK-Y0Q4Kc4yEvG1uOHO6kFON88dukWZxYpk0Dk3cmtp5E90,Thanos S2 Death,753,I,255,140,False,False,False,True
XzisxSxPCAJG5UE8U6JF4p3UrDCl-7FnD8qQ8id3VWe-SA,me and you,752,I,279,240,True,False,False,False
c3-Vmof3OYHgYxVgncBQx9Tb47CS_6UTf5MCOKR5EUaYkFE,七尾 百合子,841,I,212,183,True,False,False,False
RLpillomLqjEaSDcor989sg8K2wuzcOeILOmMt1LhFt7iQ,Azazel,1085,I,346,299,True,False,False,False
R35s64nt_atE04C1Y0l-WbAtiav0IHyjRrez-Zp86gh5Qa5jqMrYaNDfvg,NO GG PLZ,1547,I,278,214,True,False,False,True
RqwPQG_tpvdMFVMHEr7Xq8S2cACK7NW2hWkWQwzv90UOSbOrCslj-idHSQ,Bryliela,685,I,140,103,False,False,False,True
SwPcMl6PE_78QhHwNc_VAzsknHs1w6-AG3K-mZFLcZfwmwKCCpjrpAzk_g,れいきら,1495,I,283,200,True,False,False,False
iBrLL8CxPjBu8bMDRUPvKqskN5_0SPwndJMu6YwK8b4-cJk,る あ,831,I,183,160,True,False,False,False
RsW9RwB9ALPaASAfYFlIVRFh_CY3r1OoVOL86O9aNLSMZ-I,Hesio,697,I,145,110,False,False,False,True
1g5urnylpofAitRw9y5fc7SOT5shoQ4ZC-700oXkMrx3dA,Want,923,I,229,149,False,False,False,True
2Q0Scy6jg0RvaPVb69AMFGVNQ60juRZNRUucJn7c1RcV9vg,wheresyuki,845,I,370,339,True,False,False,False
SvUxUdHYpm0XYycWJUK6wWZ2sDfmEYev2Qt69QrerOdu-g,Clover,1204,I,208,170,True,False,False,True
m0UMTBrxlRFSagTDF_WQRaDGezB0PXsfstcD5fbPGQFf8qrRLC3VNBsy0Q,抖音面包打野,1131,I,242,160,False,False,False,False
6pskIvrbzADpbmsVzIVD25Dz_9qzGieWKYBxmgIqCECPmfw,兎団子の宝宝,864,I,196,176,True,False,False,False
lTNb75R7AKRCtbZj9BARcH4aEyBW8kumcomncHKiLJFqMA,ふわしゃり,672,I,123,106,False,False,False,False
M8ybxFdSfGm9rl-dP_zFUSEoQWxoSAm7SPcaBpfKZuwSMQ,Majlc,746,I,193,163,False,False,False,False
ISn-LJYWtl60jRhQSJk3ccj0LbSiMNOvCbFzvhavGZQL1qE,she is lie,722,I,152,119,True,False,False,False
Tr-Q5712nzM76enhoU4vVhpgk4X7DnlbFBhAoG2cLfpSQQ,uyrd N,670,I,184,130,False,False,True,True
qRU_sbVk8-tCFF0l5zWNNrT_7_zIFvnlIxH6WoclYlbzlkbfeSAXRz6AvQ,itemseller,920,I,264,257,True,False,False,False
ylpxJbGuwUKdHIcfW3ifyvra6cQV2mtACVDxgJKGdcmoWw,COJA,940,I,194,149,True,False,False,False
T2Fc3vESwG37R_vx414jefo7x7ICRcU53198wDEx7GLWQtJ9_dgH6GS27g,Cunegbi,757,I,218,194,True,False,False,False
iBpgP-2BJzKGGdR7UM9WZ4qaEXMc1o0CB2u07heFH-8ZJmo,大菜卵,763,I,277,232,True,False,False,False
Nj08_LjL1cNAoVpyD3jwxTz45RAuAaAc_eM4Npf1wZjY1w,ライバロリ,738,I,184,169,False,False,False,False
xdK1GPfgK_WVgeP_KpZA40qNej1l98hDDjtqlX_vjq3GTg,るあだよ,944,I,149,118,True,False,False,False
geTIYo0gRZCMv6s06Vm1A0d02CFyV7qBRKQJM2TfL1XAo_h0A-mnHVhfQw,月出蕎麦花如雪,694,I,131,93,False,False,False,True
rp_Pedyc-JbKabr2UB0KHEZquvE1N-DGxzo6xmLaBrHJeE4,1Δ9,813,I,159,139,False,False,False,False
sVM4eGG1azw2frUypvqJ7B1mGeJe302vKKDqhX59l8_wcQ,Lem0n,834,I,418,374,False,False,False,True
vSya3NiaJj-e7quH1G9gAGu31q41vGUdapvGNfBtDe9yNg,FA Villain,814,I,196,120,False,False,False,False
vE1n4fWQHfE6x_eZR3sDzxendUbbjklW_A7lqeHpqtUEiCRU3emgJjXgsg,2000y,1230,I,739,674,True,False,False,False
MlUcjg2OFwrPIDymrDc8iydxegPXTeVmc-VcqBiJCbNR6Q,御神楽ユウジ,865,I,464,333,False,False,False,False
7wnrF3DH9g5b1E9HcBIvDgVtOPkHdoIOAHlXUwxhiNv5veQ,茨の楽園,759,I,229,187,False,False,False,False
AtyOG6oXyL6Xilxlno189J0lQo_FyO0AFOxVoc6VSJJE_6J482zycZxhUA,aIways,810,I,122,81,False,False,False,False
7TXGFRCgi2-IgjBwqTc5L3rDHYdriz23jfSgzCa51yIWrT8,ひょんじゆん,745,I,272,240,False,False,False,False
34ofz7Sast0Ypo0fl4xGRAT15AoQvFudky3Dxk_lBE2VFw,Okazu,731,I,283,262,True,False,False,False
rYCSDtBMEhf2YVu7tDkHHlG9zgje13otwZbkLo-1MGGPbi9q4oZHjo39xA,チェリー,753,I,273,231,True,False,False,False
x_u3TEVLw-bwiYJf5cX4AaSZPN5KcEp80Uq6FXU1MuaZBxY,かつてのBRONZE,730,I,277,234,False,False,False,False
3kvUtq_miQd6-kfh4CAcnVeYiXktKcHbvaGp6z51HSWOMdA,ハルカミライ,732,I,748,702,False,False,False,True
