summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
FQw4hoEozM3tfWY3QAlVtSRv1xa9T0UZRhEuQUtExP8RW0E,라쿤99,870,I,441,380,False,False,False,False
OHTtbZCttGKy4gvW-xKLPeX_kCkISP_3XsyHHgoU2Lll4rg,골목대장 태훈이,1006,I,632,566,True,False,False,False
FNFFM29TA-JBnmd3t9wURoA8Vk75lSb6JxNWBmxUu2t9m3E,원딜은무기력하다,858,I,217,168,False,False,False,False
uTge7BzXDTZ8IX6xFJa7YTdjRIHPkBKIAky5vbgNJ7MaaNZDJIASqxptlw,신형섭 발냄새,1515,I,918,806,True,False,False,False
4KwopLyExxIRm2d68tvAImQoR0tHbbfcNgBPlUkJiJMSPaA,gasagao,912,I,909,840,False,False,True,False
55oU0Ai1zBV-jXZl-EPLtYv-F0UY3B4R37Gygv7_UZUuZPY,Px8,861,I,667,614,False,False,True,True
5gY8XrzYBia33upqpKb8xdnkKhBK4cQZpRt-bwd4JnCKBNDIx245oDIHxQ,SHCH0,868,I,289,216,False,False,False,False
s3wrsYKe5Kn4kkHcSv8gxbml0HqtLQLQsfd4EMz_20IUfDM,nounnoun,877,I,485,421,False,False,True,False
-g3ejn5BLw8SnLA2U_wJuYSbEDVf_vkdU4tG1ndOcZcF5Q,FIORAKlNG,867,I,330,274,True,False,False,False
u-IZ5nO2noeJcZRhgxUf0XVVY2F3ECuZHGqMAtsi7CRLPH0,EIderwood,907,I,649,585,False,False,False,False
-2KLfj0p0nBq81dLXW2SC-iuMl4oIjkZNoQY3PucaWUBQSHa6oPsNekdOg,재미없네롤,859,I,259,210,False,False,True,False
Q8B3TwGWk6bJ4_kMReY1g8kaKqT20dLL34S1qvxgPD8IZv0,구석에앉아있기,859,I,288,224,False,False,False,False
3Uq5H_hTyoJfigWadSMYn5SB4HfME1UPMTrdQ_DA4_kdzH0,RiHoo,859,I,809,755,False,False,True,False
NsTztu2nBqqUt0wBx5MW0-Iud93i-DXMGlLt8ROd1-ahQWcmWozO69V17g,Shadow2003,945,I,174,123,True,False,False,False
2IeOO_BxahPxuWVWWgU4KYl1dftT7A_3mktduUhP4j5xpVsRRvVW4z-maQ,LN party,938,I,992,921,False,False,True,False
xUyX3gWQaar4XjSzMuX4mAH-jqBO-rlpmJQ6FAI3RWAaY6_1Yb5wcA_PWg,Deity please,968,I,701,643,True,False,False,False
iEnVCzfbstZhqmh9cQuQn7OCB0w0VRVfQeNoj9pz7rmzsa0,HashtagWin,861,I,359,307,False,False,False,False
5FJt3EYclpBfpd5mHLvZherBeWyY21UzCb0gPmZc6_oL-eBeNH62tS9Z_A,Lpc11,868,I,827,756,True,False,False,False
9_OscxzzthGx2gca7E5JUEAfeYFXWPfofP7arQpFhAxWAEU,hirsuta,919,I,315,259,False,False,False,False
rvJwlYGqnKL_Yh6GGdg4KAAkHwAAmQfWw78c0tLZ2gyUWac,태기베어,924,I,343,278,False,False,False,False
A95-CMxEvicKGM7PExUGI9nTRYRfoSYR1IBtthbb0EWPj0U,yuugi7,859,I,266,203,False,False,False,True
4_0LqT8aYqyhugRDRtPUzAivCirifRGKc80hWnGHzL7miTY,열심히해볼생각,1097,I,676,605,False,False,False,True
wtugoV820tXqwxhkLk4sSHJvtIDLTmY7fPC59II_z6WoTYg,vlrhsgody,1129,I,307,230,False,False,False,False
2EpXcQrqWH6ghSkLPegHafAfD9186vTodZuczzEaS-fomw,쪼렙이다말로하자,1471,I,954,854,True,False,False,False
EZRHQtm0uyIlUjhtljX0oRu7ZOqEZwCVhcfhr88H9opNlM0,오뚜기3분미트볼,1179,I,348,270,False,False,False,True
gkpbHG9FYIlvlmKiGaWL4Ld8vWb46vXcR46Ss4NKm1RwumqP,ZEST1,854,I,699,625,False,False,False,False
lRBQwBl--geYoUVqh6Gm9Gk67Rnh_nXYUr1csxOa89qY09AC,DK Pullbae,986,I,966,892,False,False,False,False
1wtBVMrb-St2XB2PL8he8TcEMc1a9sFx9vvnAtMbaDNy7ejcVBA0iPfkqQ,CaII out my name,980,I,142,94,False,False,False,True
Kq2Bm8BaGadWq_-eoBeq-x-aFNdIl6y0abQa7k24FfSxAEHQ02uoLXrgtQ,zika1,958,I,927,846,False,False,True,False
LR99vDPNSo1L7_jmYhSaykGMLvQO602DoNNJld0SB3fBl9Q,호잇이,1085,I,904,833,True,False,False,False
HErnvi9f19-3KfxHR51NUI-9SqU0iGK3-ryHxViuDQ4MTeY,AF Keine,1016,I,1035,977,True,False,False,False
_aRRqCqX-_NQABDmJCuTFq8WTIj5y9Wk3UbJ4i6hg-Hbt6w,행복하고싶다하하,860,I,656,603,False,False,True,True
Qmp9hT5sVgXbWc__LdU4Hv_LP--nfgzhi_IqmhSWJiyHd9AN8MQID4j0Ig,qwjqonl,1302,I,205,130,True,False,False,False
5F3MXz0ADm03RaCfmF0-OKmdGE9v_9tOzF1X7GY2nlV2stg,희망의 무지개,1255,I,743,656,True,False,False,False
yCEHsdiwUPASNjFH1j8jTkPn4uKmH1aML68mbt-kp6l_kFkeo6n9TKvtJw,이진용이진용,1305,I,835,739,True,False,False,True
RKE4ZnzB8Xo69IzSHLMiCM55k7Tre-WJptv294utEIDCdJj2oEzOtAY8Gw,BZZZIII,1015,I,1223,1152,True,False,False,False
s1UwoJUfGNWziPPPoIdV78y9PdC1N6_5IcIIUB51p2kB3i0,이 쁜 채 팅,876,I,190,134,False,False,False,False
xOjcghA18ZCJNh2uqUFW34JoWZoiwDLXLl3ifM9KxyYaRADaAcVz8brt8Q,wu guan feng yue,1057,I,652,558,True,False,False,False
uhep0R6Xf5leT32GD8QvfLdQUo3cPoqyBswjqRnxvFlfNi-j8aCcuQ8JCA,Tomo456,1027,I,323,259,False,False,False,True
0aOlYzvFzttuFtbCiqoBUfWnSBLsEKAO2J_VzgthfOFEig,Chieftain00,1346,I,870,753,True,False,False,False
EwZXmUCmhCIc1FcfIFjUDEZkC6Tfl5AoYD-8uRT1uCMtKdCmEnzyuWTgHw,SimYM,951,I,810,730,True,False,False,False
7-Tk5TYhJ9zBT4bgDAFKrPE-eeDn3B4MULzps15UelJvdk8,못할 때도 있지,873,I,645,585,False,False,False,False
8Ll_snacvNsHXo0hB1HXVH4GxvmZKW3KQtYnR5r89g0_oSqB0cCGDQ2jCQ,Gotchaoflegends,1047,I,220,159,False,False,False,False
28LvOc14sIuryeM2rHiGbKvBQaCns0kh22qPUV-DksrqMlA,Fisherr,1017,I,986,931,True,False,False,False
6HtY6BYthBzb28WcMFLrE6xgp0Ai5o79CMZoXW3d2Whv4xNbTPOeoip6Ww,FA Young JG,903,I,305,241,True,False,False,False
V2GlXDYHxjAhiuAii-BpGecM6AB9aQntnFrFav7nedoErk0,langman de,932,I,314,254,False,False,False,False
nmeAd0Tl8OXKZ-TVogTYeAWzDRJH2FRKtUWKxLxh1EwWFZU,tlvekdlrlrh,915,I,822,766,True,False,False,False
vrPMpJUjEVaqcf646OAUQhBigQYhotlDrvHXmeSxPlny1faqaqyVQ2TqMw,Hakunaa Matata,891,I,574,516,False,False,True,False
CHBoqSmk4qIbGjwdgkj57n1r6Mh3voysWaavVTBlaa279Qm8JQKXGM0ykw,Aljlrpaxljkljxto,1141,I,514,423,False,False,False,False
6vubZ0A_tLfbSTgKkkDqRvXlpY9mQ83FDe4hQvumI0MTtMk,극악법 경탄서멸,972,I,544,485,True,False,False,False
xWJR3fRaqPPEqWBRKtFOqQmce1R0H0UoiYSZiax6zYUhN1Q,스물다섯번째밤,1003,I,558,494,True,False,False,False
QiRn7CAKB0bWrKspAA98pc7Ge4wk6-3LPiNjqhPxVig8Pg0,잘려고,870,I,542,487,False,False,True,False
QeOt32oQly1S5L6T7xWpyXv9rtQBmh--b-KBg_TrntCzW7M,AF Ellim,1144,I,465,383,True,False,False,True
aJSP_KsMLHKTVlk993xWG0GnlIAO9ilZj0k55zjHLCsDZP8,문효준,833,I,523,460,False,False,False,False
SZB3qmhXesA_PWkthB9xADbFAZVW_fswHZULsLcVn-pe5eI,FA Arad,1025,I,360,291,True,False,False,True
xWzOz9D92cBgDn2BsJqm-DRgtRsGGhQQeCZm3Jc9Sr6o3oc,우엉멍멍,854,I,655,594,False,False,False,False
tbm8NISreK_7aVCa_hblMon4Iu90F26WsqS1lTvJ4JPDSUcLPm9H1LbdiQ,izyn,860,I,137,90,False,False,True,False
KYfoBLEtAzbxyPmUMrLW66sluW9G-Dp59Qvr9HJloSlekoq1rQgKkNbhuA,long yan jing yi,1057,I,383,304,False,False,False,True
XMuCwU9ctwShw7zUFi4fhObjZ9cboMIFlGRnN1qBTRjjygA,FA Decky,1165,I,1109,1024,True,False,False,True
g_fGF9GlaM7r96Zf28JNiCKrU0NERjyxsrabOsZoaSqhaFs,fuzhu carry,981,I,1046,984,True,False,False,False
IK1_9HwXaozccFRLXPyY6RK41VcoDV_pfaFf53gDHeBFkME,튀자튀자아,863,I,336,279,True,False,False,False
wHfncU7PZqz1EzF_exSmwrNtq9vam7trv1Woq1PHZkv2I9ZS,FA YuriKR,884,I,228,173,False,False,False,False
lt39beEAn5zYJjQ7rmj51DL8rv6M1isVIF9zeftHvALQgmc,항상배고픈코그모,1240,I,885,794,False,False,False,True
KFgHOqGWXg-h_2M1MdkEsBQaEFXdx6qCmDKmW95kre1TtUG2,Saebyuck,865,I,423,366,False,False,True,False
nKMTlBxwQOddr3t0NCir6OXh7JFuGNTluocHt-gNMKku3iTGDTTtLa56jQ,wangpiaoliang,1004,I,491,412,False,False,True,False
OaAHKYOp8kQdiMuYqh1HvS8egwshHjPF4L8En3bMGul8wgM,교육잘받은도구,888,I,349,294,True,False,False,False
FeXzpNUVTgIjPM1qEhRei960Zxtsk_uvEdVDaGX-iyZvGVs,으라차차으라차차,1153,I,193,117,False,False,False,True
Ex84pvGQQxjoq5wxWH74qmu0A_NqB0aRuvIv0pxlrOnvHFLCdu3aWZB7PQ,502 Error,867,I,172,133,True,False,False,False
ZxbdLVIjIM_1FcNuGCc3-cv86F_wgTU5TgvQUJNDW_3wHXE,snzll,1243,I,615,537,True,False,False,True
