summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
hgHUaP0AteRm8N8DrvmPxZF-gVHA3-XQUAiG8zJDSh4AUBotEY1K9KaLtQ, God exists,676,I,344,287,False,False,False,False
SfvaAO0_4RJ03bNJ5XDL5O98SKUptG7lmfDmYOVWgJY29xE,TK Santi,691,I,887,840,False,False,False,True
32tGWneUpFR7wamVT_Kx8rG-x-SH0NNB7a2xrR3DIr7a_OJknlTtEG9ycw,Canadian,712,I,146,90,False,False,False,False
DjO7duD02pBwUJWX1xT7Y1nUlucHICv7mTBRgYXD_MvFJ67DmThKGzFBnw,Greedy GOD,836,I,197,143,False,False,False,False
T9QK60NgPwp4cTkKy-MSU1HUzZNGVDPl0O6bLxN8y7csNng,Dre es Dre,749,I,204,170,False,False,False,False
GBEImzbB-xrgcGnbP-s6_8CGai9bpP2AxK1K5WSi9WzT,AO Bullet,727,I,256,215,False,False,False,True
SiJKPLzCCG-Z0Td9ixZzOWaox6VXd8RPPgbO56d-LZZu5cY,Snowman Crawl,757,I,360,318,True,False,False,False
qM56TL349K1bkE76R-o7MbgcTyx_TeXzabyxv3L7TECG,TTV lFreeSoull,857,I,194,156,False,False,False,False
wmAp1gDMP9MsbHbR1tum25mn0xUTzVGJt6fbN9Wo7PzSbQ,stepzzzz,814,I,746,709,False,False,False,True
sZCoJhNUVw0rIBIRmcK-1sYQLa_Syx4PK2gr-DUVuYxAYg,PD Zaetoz,805,I,163,89,False,False,False,False
fzp7QcjH50ZotbQHmi4vDL8WK8GMfg1-vv6lGn_LqW3IGgU,TDT de Longaniza,755,I,416,389,True,False,False,False
P-H1axWKnmL8d0S8CHL5n7zgrQJRtWOd7Kaom1U1gFkwTRY,z z,695,I,246,223,False,False,False,False
LKZxQcmHiUwZZdTFovEjhksN0O266je5s5vfU9y1MoMOqXw,Sıtu Feng,685,I,146,100,False,False,False,False
a0lV2253s305cpm6nCcJb9OTdcAxfcwBQJUdZgGNdSemhw,NeNi UwU,916,I,183,136,False,False,False,True
_OTEl9G62Pi7ML3yZiA-KCLM4QYlYG8WGwLSnffaBtPj,xlFatalStrikelx,693,I,196,167,False,False,False,True
8LKudC5-hCta3V88lpYpi2N701aMdHHSNinJ8iSEf7_rkYMKwmwcw1T91Q, go 01 irl,741,I,159,139,True,False,False,False
fv8b_SFQV4GHWQ-JnDOi56XXDxIlokNP_9esZR5mWvoOOBc,Cheryl,857,I,515,484,True,False,False,False
ceJJvokGHvEwCc-Qu97adLSn4J_4cvGtc0DPsXGkkPngGyA,ipod,673,I,513,495,False,False,True,False
DfvIBzjCed1xgF1LfzChSlfux7P7tHZuEJwVP_fzmUOq,Lifery,805,I,173,132,False,False,False,True
_qtsdz9BgNW6DLyfIN21-6pI70icWH_u4R7vBAd8NQASmt0,Shadøumonãku,870,I,93,59,False,False,False,False
_H0vv66i4JLTvM41e8T39XPlGL1bpZW6a3Chvz98c9D7,mylo,687,I,219,188,False,False,False,False
g8zCirN-EyahbIJ3JK-P3rccLsnLvNiVtWW9NidQuwo,Reinerr Braun,729,I,141,110,False,False,False,False
ANRIeDRxxVFlHrygbzcxGJVavKG3C7YIDbBDnN98LzE,Nuggles,729,I,198,151,False,False,False,False
raqYhKGG5077BdmFyImGG_eD0PJZyhTw1ZB-Pb_944gs,Raaay,1055,I,109,51,False,False,False,False
qH0iUF31gbm1-b87wH9atyIQC7ZcxhwUWEhkqU84wCv-,RickyPhelps,694,I,313,279,False,False,True,True
k4RKwR35INEsZaRWy4VpPtqX8HsXa2UhZcrXkTmS2nmB,AldrichHueleAKk,707,I,510,480,False,False,False,False
cLPYlWclR74eGewPIIzs43Dh6GoDHSIzCU3xksVOtxbGhg,De Abreu,702,I,251,222,False,False,False,False
A-2oTynKUfEMnIKK9k_UxxJoeniXlW885PT5vuZv3dk,andathy6,682,I,258,243,False,False,False,True
dqWZJDQLNgnVHYJXMTpcOqCh9SMYE8cV5cd6SH6YRFMJ,Ren ˇuˇ,686,I,119,78,False,False,True,False
Uli4nBrJjWsCiBgRSDKKWHmC7gQrp671IfwdS-STXm3U4A,Gally v2,684,I,73,39,False,False,False,False
YogzDMYN9mhvaIkUOrgMwfraVyFzT2RovNQ4cJQergc,Alireza Firouzja,688,I,411,376,False,False,False,True
jsQ4oR59jYUzY9CDAr9gspITRjS922iZujzX-jASqS6T46s,Brcnze 5,849,I,437,405,True,False,False,False
6ZMTWgQsMwisEGFBs6BocX35WRth4VGIEpbEQ4TrsxJ8oA,zMelon,874,I,222,185,True,False,False,True
oW6eHHUzJu-srUyT9iOYGM-W9nneEa36cqOEw5hLeEYGPA,OnlyEsquites,688,I,451,398,False,False,False,True
FoQASgxh5qXAc9Qn60ECE02xLA3Gi2IAbIwsO32O8P60uA,Tákt,708,I,210,165,True,False,False,False
D_Oz029q3B-54p4MYyKhguKlOBhnNr2NpWDS6knGKO8,Keic,687,I,403,394,False,False,False,True
CCZdj3qs1dTRFg9ur-0CTSVyDZkaAgwlao3I8llAofesfQ,Meteoro,695,I,76,50,False,False,False,True
09C2FDxl240kjlrD76_ibFNM87udCDhyZ93aKBr5WncJzg,Carita,683,I,174,144,False,False,False,True
GohlEuwqWHSI587haPJpNaubC7nICIaV1gZ4_MTl_6E5,Ýun ˆ,682,I,106,79,False,False,False,True
u6a7GTXRIkBt_7-jG0hiCut8st1TYjsb8USqrR98ng-5DM8,Mándarina,721,I,414,370,False,False,False,True
Wocp1gam0EYYi3vcc2Z0qPsji6jHrc-Rv57VpqMfcGIufsA,iska,952,I,87,52,False,False,False,True
IAeALREWlb5lQix45jEVdFzQbJYwRHiX7ZRstwxZj7Jvv4RJM1P_MEViTw,Sulta,860,I,97,79,False,False,False,False
cMxammptBx50evl7C65-wjR52I2seWTI-PdQuhoM-CSq,I00 gecs,975,I,182,119,False,False,False,False
SwlS8y8Gzlb78ONfcNaQhHgT-BOOECbgkt9ZtOHF1bwSDA,Falan,932,I,170,131,True,False,False,False
oXauUoCwYmIfgdlZ1auzUwhW2N-9tCNJuvp8f_8LyFt-,Nazeebo,749,I,219,181,True,False,False,False
QaPbMNwyDesWmJ_04lW1dPKgh_UrVC1EQ6pliLDHCR_o-Q,Jauny,1824,I,208,126,True,False,False,True
hrYu21BpGOtoLYAiQNPmBYCCLCokvVylV7qA2pJKe0Ck,TechNoirº,780,I,261,214,True,False,False,False
nFvmQCjM8dHDIqL_Jd-NB4JpUJTsB5ri5AS_JyC48Kuv4Q,Jamoncïto,716,I,590,539,False,False,False,True
ry8n-aZRGauUNqcU5md5Xo3V9zZCEiWyDQ9JGyn1PWpS2g,Ashcrow,731,I,406,379,True,False,False,True
jnbrxuBPh_hioHKNAS8ujfRBQqlWaRuxUfWttMLFOUxJeA,Dreseul,684,I,223,196,False,False,False,False
_7ETgvGlJ0wLXSTCvVWCzf6RJwZ3oLIeWQbrtd-3IJ15jMc,Skyship,720,I,249,228,True,False,False,False
yfnsPAVlqEnsTJIPZddW7mTJzNxPLHRB3AATxq2Q45TWJg,ILikePotatoes,708,I,188,169,True,False,False,False
xOgiYAxEbysL2F63cfw9nSwGOnC_VLFqdGT4aCB4VAS3vQ,TwichTv Suntaric,815,I,334,283,True,False,False,False
5HZF0cNqS1YvdHyRbqsyqUkdYochYDroyJfkVUswBeXn6w,ACN Pingüino,694,I,217,194,False,False,True,True
BtjzTPN1iBLXNf7a9-PSWl2fM0stBTXnfqV6fz07jKAwRC4,JeanPaulRM4,683,I,419,367,False,False,False,True
pXjmF2IQV6evojnvUDIOZxm589opau1yekrQAP-FXQXI,T Wayne,703,I,89,60,False,False,False,False
YCLsMMWKvuu7vgMIAR71ffjjzaMRifrBtgNja93JAIcVMEL04s_CQu-OlQ,Acuarelas,697,I,199,142,False,False,False,False
auzvTpSgensUCh1edtPxqkKrsj8LkwXOOC5GaFP3zqa33A,Naehyum,1004,I,153,106,True,False,False,False
1Vg4OvMnF2UBh4_-Wjs8nnEshz7MKfNrRHnDWnADQ3xl,The Artistic,862,I,124,93,True,False,False,False
eRFDrWLxo-_1cSEdPbgvKElF_Huys2Hwppz-AqdNhp6NAg,Sol de Luna,798,I,259,225,False,False,False,False
YDZA7yIq-rAJTCKyPs6dUyHRgqiibjTTNxtVyLQaPSpq-ZI,Shang Yi,686,I,313,292,False,False,False,False
WwcWXNClnNUbjf2-2vx9RTu7hGBTADG-0Np30kWySot0mA,Hetairo,689,I,194,165,False,False,False,True
RoFe4OQaMicp-EaIrOhsbJvh80pKDovUfKFwahPFzED70NQ,Sajoth,710,I,175,108,True,False,False,False
5hz-L2JY0rfk8bwm-bs0aUu6rAluMUQF0uQXJXdJqds,Foxy,1459,I,378,301,True,False,False,False
