summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
qxBWJ4V_3QtX6ToJBprK0eL7KPVfubTxTdPB1reyCIfeI-9j,Arc en ciel,1018,I,194,155,True,False,False,False
Hfj2QTgNO24sLS5zuzIbstt19W8LRldZYX2p_6rTVecKSpHiIqRb3UUqvA,MASSGAINER44,971,I,254,195,True,False,False,True
-6IrfHfi-rYm7HgooM8QdvWaVFalEhjpy9uUF11rbpI5N2E,sai desu,904,I,680,640,False,False,False,False
O5swSXNi7cHZtLymitqlyqnmo6m4GsweupNZimYLuB5HIuI,PickleTuna,881,I,104,60,False,False,True,True
_rNmuOGXWYIm2ywgGT0ZwRwtc3e9qZmVLbwYIstbrNuCACCq,Fear,866,I,350,283,False,False,True,False
v1BrSxJz6yVwNePn9SrHKIm4Cz-p4AuVoqGc8vF_ztxXoTw,LegitKorea,906,I,342,297,False,False,False,True
hABVzWFkHSX_wqIJFIXEfTD2AzZeIEUp1Dhd17nRhJH9Y8M,ANTHONY EVELYNN,884,I,497,453,False,False,True,False
ZRvp9GXjfJbJ_OYezwCKkLriZwasSQcPjdR48o3ktXC-o1K_,Wxx REB20201,909,I,301,259,True,False,False,False
j2jLHZGfAdQNMs8U8dAhiNpWQH5fcY4WBFYr-zvHjqy9uOs,Burento,903,I,261,216,False,False,False,False
OB6kzjcEzN7mg8BZ6YiiUn-l9MijJA_IpZ4Bxqkdx0qoIJA,Secret PIayer,876,I,340,294,False,False,True,False
6H22Z8vLRH2zk_QXDDPs9dZqxsaDwBXUdIuYetb05_WxLkM,Feather Daddy,1184,I,604,552,True,False,False,False
lQ4YB97WdEFWDhEIzqiep6dCqYkhJnq5i4K4gU1LiexJZrI,bard kitten,1105,I,238,178,True,False,False,True
u0cMx-j7ze-g_9XDeLYSSV9rMbWRBgFXp-ww_qQFwN3H0Gk,LowKeySavagé,880,I,175,138,False,False,False,False
s_5bvUk3ZrDc1JtqoGQCxd8EEJ4xhdVE-GYPza42SQU98vI,Scenari0,1122,I,435,377,True,False,False,False
CNnB2pzqBPNIek5f8Rh_tb6WCpJ_MGAYHVQecFGxeytv8Gg,tibs2,880,I,394,346,False,False,False,False
JQcsNsESmLJSSHomAbYSfnIhvmoRPuNev_hQjJSYC8rsvdg,Ethiridis,888,I,404,364,False,False,False,False
6Biy6d1cHUSPku-XW-fjBoOzNQBr94hNw5el7uXYT-sFtOr9TqXdv-X-hA,bruhmomenttttttt,873,I,1150,1117,False,False,True,False
TOjml-tEs02HNIq1Sc1PNWGTjDYZ1dcEIZ3Lx8bwSwUJfsPY,Sheiden1,1258,I,324,246,True,False,False,False
aJTqdjtnw3KjLtz-iAQ_NXOMyg80wefvhNZckn5AGq-XVDo,MONSTER CHAD GOD,877,I,544,497,False,False,False,False
