summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
2Vf2MeoWdB5wTKOIbvsu7a7euLo71Bhv5QRCJ1THqq-QIw,double dosed,1132,I,740,642,True,False,False,False
Z6t7hmUSl-Fzd0LJHvVLkQldrbMhKBOHo8rhsKroFMrp6w,Wudu Montana,858,I,357,225,False,False,False,False
iwW0bad9Kh-qht_IteMkTzCosLxxlnCAvtA6Ws7BBMnW,Rueski,861,I,490,421,False,False,False,False
9AuR4lRax_i3ERA7SOjIZFXrUDCHgOLxMrra9o2d_ifR,Coach Curtis,956,I,341,314,True,False,False,True
PpxgmKT8bEQJofhbvlHKLE_B7QNeX5FKIp_fbrIFkHrhKvU,FerbinMyPhineas,1261,I,213,131,True,False,False,False
IxkVEA6dISonpR4_xvJrY3mdWwbw2uN7ZdCjpCLKRgQC,Bluę,876,I,157,131,True,False,False,False
sSkmgB2Z5Gye_IIOb5eEbeqXWGnw7vvfNm0X3b55ExTJ,Mikru,856,I,490,446,False,False,False,False
4MDLSrblTkZHiMj_OUY6LJ35PrNx2zNPcbqNj4bXn-fM,kalroc1,839,I,370,332,False,False,False,False
2lbIqVEBhvt1LbZpXbUnEgB1pDkSGRo1khwZJKOUf3881w,liability77,874,I,617,573,False,False,False,False
V0aZ3mnp4ie4KXJwuBeJHVN-3y1_bVicRoX4v3trvyiD,GUAI BAO QAQ,842,I,257,176,False,False,True,True
vLJrbift3NBuiwKYTabw70B_3EAeB_bilzQ9JJw-G0wrXw,SexyRiver,938,I,232,198,True,False,False,False
xGPqU5IOy4z05D1001Pd0OVRUmpXIpk-C0k3nONSOu_I,Cho Miyeon,899,I,284,246,False,False,False,True
zT-ZpNBgpihLptkFm9B-4AQzRBG6TQD7IPYmOYdICrDJYlc,le propriétaire,1455,I,186,113,True,False,False,False
SmjFdZ0CsordwaldyzILpE4ZUfPw6oDm_lfkCtsc0x1xjQ,pakho,865,I,331,309,True,False,False,False
xzrQSSwrzmDfv25qWwE-DBkPcOKx07_6ucimrTeestzY5Q,mundo main,836,I,210,165,False,False,True,False
fXbvp7xSs4qIMd-R3dtBHfT4b8rPk6AMzCvniRukUGtSRFw,Frosts,941,I,247,195,True,False,False,False
4pxSaoFVKdYpQ1Dpt1tzYSUe6f2HbKSvxCKLpUWjdqmK,His shadow,986,I,193,150,False,False,False,False
iiq6vJGl74jTEAHA60_3DK1mU3JLsz-U7wm1O8RhQbg9,Terrath,847,I,515,470,False,False,True,True
s7jAXJrrFbGDj3Xbj4orwETWhg4g3ldNM4lh9ZYMV5Qr,Sybol,846,I,723,704,False,False,False,False
g-4bc0_CqZ8i1dIdUBYjd2JabdUMRSoGdVCQceMPri-Y0A,The Wðrld,908,I,172,146,False,False,False,False
tdp2qR3HVlGsNFlnkvNCoK8E7F2sosHLu02zVJ2BEqn-xXo,Shuò le zai jian,968,I,124,89,False,False,False,False
UUv5LapmD43jdi8UybAPOrAzeAs9WT4XDMbeAfvcdQ578A,Iolita,1190,I,326,277,True,False,False,False
Jm3S2EYX0KKKMkW5yiObk3cXyhaAkmvcuZDpPYP5vEyQRV4,kuo,1280,I,316,265,True,False,False,False
7qj3TiM-LKM-isHfvc7jEVZNv3nRwwhGw1pZr3kWUTaLbYg,Nashor,860,I,325,245,False,False,False,False
NYTvAEzE6wfuABVG8obrtfFwoZzqs7FMKHZjuq86ka9Gwo9gcJ-Ic71hYw,ORDER Chungy,950,I,214,190,True,False,False,True
UEmO9FuwXfHzJHxOG5xD9uThB2DohJjV5BZ_nDqTbEiM,lockdown corejj,844,I,236,202,False,False,False,False
Ab0KIwpSYIk78nRsL49X-vMJAb6nYgd1D_sFNXjNMqC9,Noobad,847,I,214,184,False,False,False,False
3pztnJzMG6BTPLlFDStaFKMw9fkbwU1T6aeK8CqBbU49,Kiitty,854,I,286,260,False,False,False,True
eBYTyJ2T8mKTT7VTnupb-p_p58m4CHNeRPj_RCzJIO2v,BioPanther,927,I,240,195,False,False,False,False
t1fFXYsXTOg2yVJVN2ePIqDkKmAnIuVaLekfjF_9_ZIB,play fast,1056,I,619,543,True,False,False,False
9U-XxK-AjajQTLlicFAn_0PxJvH97rCOutqALmPuyEdnlGg,1MightyBullDog3,908,I,470,404,True,False,False,False
JWzlMtBO23xyJFQBr0wD7Ys95u9PIRbBzi0oD_ljG-PW,désa,1095,I,855,812,True,False,False,False
IYy0M43ix2NRLo_QuLbgbovAyB8RZSUPFe_3fRy0khUk,SexyDDY,1144,I,479,429,True,False,False,False
h60_j49YfVlv2iAyZJacGELnXYIJ9Syk-Sg-Af0mbSbL,Omnî,867,I,611,559,True,False,False,True
Jg04iNVpbCJZSHI6A3qjzgcamJZCyddJPRZ7UQkOr0KJ,Shok,1184,I,334,298,True,False,False,False
CaWEoXu0q_MRuHMkK5MGaikwSxQJf9zlrmxqERi_gXLeVes,la poupée,844,I,115,59,False,False,False,False
PK6fHSvFqGb1xSnmL4c-CuYvCSB2UpsEgCmMYVHSdOl_cA,dingerz,844,I,240,168,False,False,False,True
aYLe1-F9RXoNsMr3gRSG_XAuoPEpadGwyjWomRPo0zJ0,Ârk,849,I,264,224,False,False,True,True
w9uTMV9apCPsiYlLwg7BMqrBXgBLW6VMVLCXjBREVzDaszA,self sabotage,850,I,148,108,True,False,False,False
zrfBqz7tYMuYlYHHeNs6RvYbAFKW74B3NUg_TSOxPYE7q_U,Nemesis,865,I,492,454,False,False,False,True
w51rMi6ya6Ajj94W8HVOVYVlGEpRPzl6GvLw2v_J0yt3Yw,ˇThe Shy,905,I,195,138,False,False,False,False
1uHfvvE8JyjGrl_j8-I4YhvFi6CGWMVX1RnOM5QC7PbMYA,vx dlpw789789,1242,I,178,125,True,False,False,False
04YV4OJUZm6pPk-hYZI12LmLZc9jCKNWT10gPqJaqif2,leemas,1004,I,477,434,True,False,False,False
o1HqocNdPfX-0uH84OpAzslBbzmiRXu8HlwC7yr2ZHScgQ,xin xin zi,855,I,792,749,True,False,False,False
twdgKxy69TEVU6-QiFP-ENHN-EqMHw5CwvpOX8yXMXPIZA,sxra,1009,I,384,348,True,False,False,False
RGLeagaOdGhakX7-DwepNsqWU2ExSq6yP0Apot0jmpfPuA,Goky,870,I,203,151,False,False,False,True
kG3t_Wjq7ZyZHE70ZkYVyBRIc0bJcjUs4m7mvr5FX0-PjAA,TlAN,848,I,248,172,False,False,False,False
Ghpxq_ncndxLaJ2ScL3LWIawUBDJ-x97SbYEAuyjYQd9,Dragken,1382,I,538,488,True,False,False,False
T170MXWJwX_ysbcms-jGkV2lXrdSdOGmndnToJ8Njiob3g,Ręd,1360,I,202,144,True,False,False,False
A2mzxlEsytylNlhOHd4ZaA10qcnPdV1L9VTmHj9VQl-O8tc,ninx,853,I,502,462,False,False,True,False
