summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
aCKWkuUtWFG1GYY7vRarq_naz8w_LhByizPrM0Y1suexNA,Талант из LEC,604,I,242,195,True,False,False,False
BxMFNqvz8XDtwq4QZZHFbmnC6YH2uKnJWefmJX9J85uXqin_yocWqVOkEw,fight at crab,639,I,100,69,False,False,False,False
g79QL2dIRnzwS0sO3AUk2Q9FEv846qfSJ6bTfJT4nb755w,MrGraek,599,I,300,261,False,False,False,False
5oenZgbaeLR0FsyqGAyKGhY2-8mdh6DdQ9zWphOJPbQ,global warming ,604,I,83,68,False,False,False,False
Gbr9T5SeYcyuC91hvBaPe-3g_BuKnXrFWLGGSF5YPdkRRcA,Оленёнoк Бэмби,636,I,190,156,True,False,False,False
fnL1Ynkee5_p-fcbHvAAWI4RniL2JVhw3Uot57MrtJzSycWjblISFzxi_w,Pirozhenec,775,I,113,79,False,False,False,False
ul_layfrP34VpQfImwOwu5rGxX08qho8c0ojzM9OH2O8,yYWnaMRcUY4sfy26,613,I,110,70,False,False,False,False
AbcH4s1FMgVfB5kWfXHCtfFxbKMkQJJtgO53iRRgNAZ7Rwo,FreeDestord,921,I,97,62,False,False,False,False
RrjvgAyzGWdcvUyf6ef83Y7PK7htbiwc2oPYdMziVWQB,Gelraen,609,I,300,286,False,False,True,False
QkV_HwDUuMTJKwuHfOzH754uuSW21VF2yvxX4XzI-U3x,Poyalko,608,I,96,76,False,False,False,True
ZpH6DWjoiR1k2hABIqy6YoKFKJAtLwM-h3xGfI01gsCpZGc,Skizzplz,655,I,169,125,False,False,False,False
A-fop81MShD6JGR2NTi2o3QAzWFLzCaGEP8AMJzRHSCv,yаbloko,604,I,411,352,False,False,False,True
1ROqgolAxJ1A33-IVD5NsxAyW9qF1sgZKQ4M4BDPNy3p,EkleDank,631,I,167,154,False,False,False,True
2L0H9asH_NWYCAYxXikeGAqE_OMYxyNNpel0TZLnP7q2Nw,Kill,639,I,89,73,False,False,False,True
72zp5J5aotL4L-j07_aE_8KA03Oe7s_bOcj1o-h66lP4,Peaky sênd nüdes,614,I,144,119,False,False,False,True
mEj6ln-45LHrwwBPoTN21_mmn8ODL41lnNhqmq-lcCniFQ,Empat,859,I,158,131,True,False,False,False
SLy7hdqY1VecPXopR242TRkQVan-uU_hVX8-VQJwspwA1jQ,Данди,614,I,218,195,False,False,False,False
