summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
8XC7Wz41f3Kh4TJfFBHoBkXLG8iJ5UlAl8gwFkqGPcvkn8qMYgui7y3QcQ,Fame,506,I,76,26,False,False,False,True
oyLQo5cc6fTCijhdFQiTf6rwfjjIkeI0ylLu0xdtw6WQR0Q,N F,1055,I,309,259,True,False,False,False
Z5JHj6LyPznOp8yuAYzGQeIqUzUA0llf9eK9I-IzOpz0PW4,Diluc,754,I,248,203,False,False,False,False
yWVPewIYCa9nLX9OYkvQZ47sWq-riJK2YZhffG7piKnNPfw,Kaera,511,I,163,128,False,False,False,True
lm0btSnxzT9mtvv9TYm947EcKENJIy9JevJ06qO-8tH1Kw,szerzno,566,I,231,190,True,False,False,False
gAIpGxgGIGRZunUE5qi07ImaUMWBnTkiOqWnVx0vkuPHZA,redstar,547,I,321,265,False,False,False,False
ayB3pXeT2sW0ZyBqoanaDnxZm8mDyOyR4uEiE8m1JPabB9wPuB3EE4beMg,CRlNGE SERVER,638,I,231,197,True,False,False,False
aaUtnuKRl49zS1KNx_Oj2mgv-X-n8MQlzy0MY17hKxlUFA,Soulsrabel,706,I,169,144,False,False,False,False
-mdHrEHV24ilM6qnUwwPpdhZP18kKi5gJiOEf2RmG8LfHo0,Bleed,504,I,71,47,False,False,False,False
IcJ9V7A4uFx62x6hYT7B1IAWH-vWLgPNmNF3j82ZIg53rQ,Yasuo Passenger,574,I,281,257,False,False,False,True
9IE8iW2rnFyVPZp7l29CnOkqPkAbIj7gZ3EvZRP7m8vC,Vâreste,752,I,538,497,True,False,False,False
NaGLRVJX8chaCCfN7AezhhRfT9p3G9o8iLgaG9mUnCxNgzY,RİOT Belladonna,512,I,137,77,False,False,False,True
gsHwkKhbVXkGErFPJ9n0C-e-lw3NAe7q_1FxuqOJ0xqaDoA,sword so sharp,519,I,166,139,False,False,False,False
psk371ha2GX2JeSSnAtVr4kxotsmFTNQFwKWvpUr5-n8gM0,R2 Solarcix,531,I,266,199,False,False,True,False
Ae4OAS9q6xip3WQovK2HHZz9q8-XMzy8bIvzBRjqO3wV0g,MAD Cruel,512,I,125,112,False,False,False,True
7VlXio4BYKLiC8tXzkpjKEkq-Uas66ftpFVJJ3EHiG1Ypw,Duh,504,I,210,188,False,False,False,False
eUCGol3rRigGNL8R79hSHgss4yBq8M78Pm8Z78nZpprd5FbaXNS1lXpbuw,Charlie,685,I,230,193,True,False,False,False
5Q2Qvbx73ZQOZ2NfJn5jCIihLhfCSXHCQzy-nXA8dasrWPw,Emilie,511,I,119,97,False,False,False,False
1_9zZ77rAOiTAFV9uxm_x1R-q1hCmyT9zrXHz3vlzVK2bsQ,Rihannâ,683,I,229,180,True,False,False,False
O86qJKaDfBX1s0Qvxl6Ju-QgwADCzyopK4HrzBiSm_DaojY,kertenkeleosmann,501,I,69,45,False,False,False,True
p0hBDjpy-vZs1k1-LMOyB7pJCo5DksWo6Kiksh8GhXCG,Infinity Theory,513,I,177,154,False,False,False,False
3utOsHUJBRjAKPui5EnS03-Qbpt0c0ysXyKJG_juNqlCkw,Akisha,578,I,128,92,False,False,False,False
OsvvFEAdQE4LQp-azjvJ7j5FDf4ncxUXIdidszLUUacj,NanamiHakuya,508,I,174,126,False,False,False,False
