summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
eY9Qa1kbBM7IzR1VDBSCQWR83RU-xJYD-0jiQv95aEKt7wE,tryharder123,1191,I,658,591,True,False,False,False
TpNjo1CSxI7GPWPNjOACezdx_R3qLOx8AnZhc4enCJuZ860,Razørk Activoo,1233,I,336,256,False,False,False,False
8sp1LZ11YpsUyjfx_MVgRHplBPnRMct34RCK7fY8nCcE56vSoDuGBhZwqw,FB Neramin1,1031,I,400,343,True,False,False,True
9sFRrkMPVudtvhgHloz_Co1kZT6EmGJ4F1dnkq2neiWH1-Xm,Nio Nio Nii,1021,I,971,925,False,False,False,False
R-2q6cLafP41-I5lXZGsHI1uyEwlP7cUP6_DPw4OoYzzOAYCLFrp8L4ZuA,januaryneverends,1001,I,130,114,True,False,False,False
jyueOX4rvElwm94nF7-38Tc3zaK7hKxlxXvXmhvyoqkkyqZq,Mavi Solman1,1167,I,289,224,True,False,False,False
KomR-yYzWxFz52cJi_mV-sy1LVeD51T6W8yV0_0Wd6LlYw5T,twtv NyroLoL,985,I,605,545,False,False,False,False
B787xLPiC5xZeoRPKznbtJslYjHUKKqJiuYlnd9o1f7aMZI,KC Rekkles,978,I,665,608,False,False,True,True
Hq0CGnjFJdgbS9XZKIC1S3ll2__Ykep3_15wp1bA0_tzs8s,GK Mishal,979,I,438,375,False,False,False,True
K5ET0RWgwgahzntU3umkXaMTX4z0Rb13vqvn8uYA71AfdfU,Sawyor,1037,I,795,742,True,False,False,False
8hBPPea7iP9mpQdAZo1hp8xsWDVfPjRJ3kwC5cpoqXMoYao,caughtt a vibe,967,I,998,933,False,False,False,False
cFuKRbTnOkbfOibRRPKDJglVuADFbGmXrdgBYS5UiZRrm4s4sJlWWXC5VA,Undercover ChimP,983,I,239,172,False,False,False,True
86042_d_WzA0Gu_7F7JU4cH1_4my6xHWt-uTi_RvLIJqurkQ,togrU nomaK,973,I,341,289,False,False,False,False
TPDW9kg-222ihm-mq6vg_KbmuIfzVdrkCjdXxg_AGvAtMo4,MAD Unforgiven0,1065,I,160,125,False,False,False,False
7_YtGlqZI8BbdwfFo_hDjlzMlM6vSjUECRPmGQ6umM4Trkch,FFFFFFFFFFFERRET,1219,I,664,600,True,False,False,False
nEFXC8KqYWqtlYJS-2sYKeq6tiaQsrkOmLEh0mqUvwk1noyG,tetris guden,976,I,331,273,False,False,False,False
m7pAunFiLvKP79cYkjPW08WNnKdoDhe0v-50zBLxrUa_ihE,Chad Movement,1087,I,404,349,True,False,False,False
JOmZEXXHS1MuzlTMAJaeTVdXatoUT_3EIwX_6wQTT_HSbMLCRpfR8xK_nA,TwTv elramirlol,969,I,470,407,False,False,False,False
7Hqqvac3o94ctlTKRzeir6HfAqFi5wB7OLtkL-Dlv-C9O_kw,phlaty,998,I,1014,959,False,False,False,False
