summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
8t81ngWbK0Iao6ZEvJq7uRrwAiOuFjwotWOHbSKFMqXBJHE,Kurose,1152,I,423,370,True,False,False,False
_gam0L_MMWXvzBITb1vPrkZoOtISAbKo75mACH3-lFaY-G8,ßazz B,874,I,355,321,False,False,False,True
hxJnJqj8Lx9IGbWvi_giC3an4nYIuSGjcsFw0mUsiaiATgU,TwitchTv Jugttv,1013,I,324,280,True,False,False,False
--r-0dHQSYKYyuOXsNXHW1sE81Q3tGG1PaajOY9yllh4vXA,Gravebloom,941,I,114,67,False,False,False,True
TfU2-ZXa5ukzoa0EZfH843GgCoRQEuPYLp2Nfg3JnVc-ZIM,Zeyzal69,952,I,245,196,False,False,False,True
CSiD-mwvLKn5Lsxgo9k9oq-pUtTGrQ5AyoUxyB-morS_KPA,A D,960,I,232,180,False,False,False,False
mfAc8ca8Csyedb35Rig7xTqzY4uWwqajkoz4f3cjMtL1D6Hr,Busio JNG,915,I,408,367,True,False,False,False
fTxmZqm8nAxirx0TrVcv1eYfWhWg9gauITIg4AbY1UhAwkHo8n7XwcNMOg,Mongolia Yuuji,1287,I,104,78,False,False,False,False
HjzdJnwF1hp7I98-aT_mCFppM03D1lfxzxgHawpbTFZ4itwWHTXT5mfmSA,qufl,905,I,273,203,True,False,False,False
F1WgUseWN6z_ZH4PtNBpkvA_0fkHaMRs9IjeN7iuQRpPfec,Busio3,1148,I,441,387,True,False,False,False
pb9EwDSeMM6dVJOH9eKirH7ig15P2vCmRREBRRzUFr7ufBRx, N L,890,I,210,166,False,False,False,False
CtD20LluCs8keHfD9yEZKIt_rXQkBTg4lhkmdA6Zxu6IJJE,lose,927,I,299,232,False,False,False,True
E4JdpLmSdyO3ITMaeecZdxY0GKEnd0_D3K5IvM9mnpOBHVODJcbvhj6qgQ,Kurfyou,1168,I,303,248,True,False,False,False
YeTI8a12TfODY8JEmrpv7Hslkr8HueLptM7UvXXwAtvSa-E,Doublelift,1192,I,381,329,True,False,False,False
sGeVBPi-dpmgpS68WCT8UAnfXahRX6kyl_rYxmC5xvlKGRY,The Tank Man,1484,I,868,792,True,False,False,False
5k3do8uGF5sdI05ewxlhOpWvfO6XNohfJDho-dZrQA7KZj0,Ethiridis,888,I,404,364,False,False,False,False
zIukRaPsTo1PVsNBp8r8HfGZKIs-9Buos3_8M-pUn4IhpnbU,Spirax,1257,I,307,255,True,False,False,False
vXKT6rP7_el2E24wejoQSpfyJ6h_Vkk9ECaDZHAb1wmtlpY,RHINOOOOOOOOOOOO,1339,I,212,146,True,False,False,False
9Lu1cDeUirzXfvr5oss0Geewg2GU9dIO7SE1HFlw-fZTNVo,mind is calm,879,I,874,842,False,False,False,False
aZsrCSNYnw-lv724meRefeCZcNTQ3yalGbXlhXXxGw1MHEU,Airflash,1015,I,519,469,True,False,False,False
rdw-oArPgPJzVvCUq1agl8H1m0YnFZhCORU50NtHjjgiBxjc,Dark Wingdom,884,I,268,222,True,False,False,False
0jOMULBOTvaMJVDLlUB9VnjkybWOdfwJOGPGv8ZlHR2ZrLA,KryRa,1224,I,288,234,True,False,False,False
eH5D0EnVaPngWGql3bQBCiV49Lx3H3G4ls0fdLxnr7JCn_k,Satoshi,873,I,259,214,False,False,False,False
pzXeu7mXyHIaTmhuiiCJQUPF190ymT-cB1ltA-BJ_N7Gr30S,Rënekton,880,I,348,263,False,False,False,True
M_9M5dFpWmYsZm9oXyOi9lB_EkNz1m8L-UESUTjxGsFjGdBW9rSBo7X58g,jjkinggg,939,I,168,144,True,False,False,False
gt4ty09OOCE-629dGrSa0d_uEktZ-IZtY9EcT4_6VZYQLYg,Strompest,1105,I,467,408,True,False,False,False
yY9y4VXGpvtd6TjXatE3F2j5NQyG2okTfEJTGCXFYIKhJsmfGArQMt-wog,insanityxd,1214,I,644,582,True,False,False,False
NdZEWZM5CxnuOMu-qOe7QapsGUsis438UPCje-NzP0RTukyB,onlyzz,1059,I,722,677,True,False,False,True
V2nMwBLDgXavMa7MlwUy9JEG600Gy2vLuWTflOSA-fZrPd8,            Tçº ,1053,I,313,224,True,False,False,False
gjPLUCCjtA-qJbigm1mwv_HdnS4c3mANCPoCl4tJke4GKVc,align my chakras,914,I,458,424,True,False,False,False
kAt3lkSGwiIt9ikwkkKlSkH_gA-BHL6yKVDC8aF0wYqs3JU,TailsJJ,910,I,452,402,False,False,False,True
FqeLE75x3sKHyARH-KbNGH2R0Fq7qyeIoJydwG88ZYA2eM9v,insung,879,I,301,234,False,False,False,False
AssRk0pmcmyp4eAPihJcNC7MOalhWSxA0RseNj5A_SdYpXQ,raheen1,1140,I,476,427,True,False,False,False
FIOJeXFkmtJNAmH6X-LZ-hQDMJOghuwKPoQiHugZvkAeAn8,Kryzlx,909,I,298,251,False,False,True,True
9eSx6yEDAZH0Lrldm6Yt_B_v-8pqPQo_8fqqI7s45kq4dh4,wong diff,879,I,742,681,False,False,True,True
